Code,Name
185010,里仁溪
185020,牡丹溪
185030,竹社溪
185040,大梅溪
186000,保力溪
201000,港口溪
201010,吧沙加魯溪
201020,小路溪
201030,欖仁溪
201040,老佛溪
201050,加都魯溪
201060,林祿溪
201070,白沙彌溪
202000,九棚溪
203000,港子溪
204000,旭海溪(牡丹溪)
205000,乾溪(里仁溪)
206000,塔瓦溪
207000,達仁溪
208000,安朔溪
209000,朝庸溪
210000,大武溪
211000,烏萬溪
212000,津林溪
213000,大竹溪
214000,金崙溪
215000,太麻里溪
216000,文里溪
217000,知本溪
218000,利嘉溪
219000,太平溪
220000,卑南溪
220010,新武呂溪
220020,鹿寮溪
220030,鹿野溪
220040,萬安溪
220050,泥水溪
220060,嘉武溪
220070,紅石溪
220080,崁頂溪
220090,加鹿溪
2200A0,加典溪
2200B0,濁水溪
2200C0,中野溪
2200D0,山里溪
2200E0,富源溪
2200F0,拉庫散溪
2200G0,木坑溪
2200H0,石山溪
2200I0,山里一號溪
2200J0,電光一號溪
2200K0,電光二號溪
2200L0,大崙溪
221000,都蘭溪
222000,八里溪
223000,馬武溪
224000,成功溪
225000,富家溪
226000,都威溪
227000,沙灣溪
228000,寧埔溪
229000,竹湖溪
230000,大德溪
231000,長濱溪
232000,城埔溪
233000,馬海溪
234000,山間溪
235000,水母溪
236000,三富溪
237000,秀姑巒溪
237010,三笠溪
237020,樂樂溪
237030,卓溪
237040,豐坪溪
237050,紅葉溪
237060,富源溪
237070,大坡溪
237080,鰲溪
237090,螺仔溪
2370A0,崙天溪
2370B0,九岸溪
2370C0,馬加祿溪
2370D0,阿眉溪
2370E0,安通溪
2370F0,樂合溪
2370G0,高寮溪
2370H0,尋腰溪
2370I0,阿美溪
2370J0,呂範溪
2370K0,苓仔溪
2370L0,樂和溪
2370M0,石公溪
238000,豐濱溪
239000,加蘭溪
240000,蕃寮溪
241000,水璉溪
242000,花蓮溪
242010,光復溪
242020,馬太鞍溪
242030,萬里溪
242040,壽豐溪
242050,木瓜溪
242060,河內溪
242070,馬佛溪
242080,羅莫溪
242090,加里洞溪
2420A0,鳳林溪
2420B0,北清水溪
2420C0,荖溪
2420D0,麗太溪
2420E0,南清水溪
2420F0,大和溪
243000,吉安溪
244000,美崙溪
245000,三棧溪
246000,立霧溪
247000,石公溪
248000,大富溪
249000,大清水溪
250000,和平溪
250010,和平北溪
250020,和平南溪
250030,楓溪
251000,南澳溪
251010,南澳北溪
251020,南澳南溪
252000,東澳溪
253000,蘇澳溪
253010,白米溪
254000,新城溪
255000,冬山河
255010,五結排水
255020,平行水路排水
255030,打那岸排水
255040,十六份排水
255050,冬山河北側排水
255060,新寮溪
255070,五股排水（冬山）
255080,林和源排水
255090,安平坑排水
2550A0,舊寮溪
256000,蘭陽溪
256010,羅東溪
256020,宜蘭河(宜蘭溪)
256030,清水溪
256040,粗坑溪
256050,頂粗坑溪
256060,崙埤溪
256070,破鐺溪
256080,松羅溪
256090,圓山溪
2560A0,梵梵溪
2560B0,排谷溪
2560C0,東壘溪
2560D0,碼崙溪
2560E0,土場溪
2560F0,天狗溪
2560G0,嘉興溪 
2560H0,加蘭溪 
2560I0,德荃溪 
2560J0,志航溪 
2560K0,茂安溪 
2560L0,留茂安溪 
2560M0,加納富溪 
2560N0,碧水溪 
2560O0,四重溪 
2560P0,美優溪 
2560Q0,實谷富溪
2560R0,夫布爾溪
2560S0,石頭溪
2560T0,埤南溪
2560U0,北古斯溪
2560V0,卑優南溪
2560W0,保養溪
2560X0,美羅溪
257000,得子口溪
257010,七結排水
257020,竹安排水
257030,十三股大排
257040,武暖排水
257050,猴洞溪
257060,砂仔港排水（礁溪）
257070,二龍排水
257080,民生排水
257090,李寶興排水
258000,金面溪
259000,福德溪
260000,頭城溪
261000,大溪川
262000,雙溪
263000,尖山腳溪
264000,瑪鍊溪
265000,員潭溪
