StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
HUA970－080,970－080,{'Zh_tw': '中華路'},"{'PositionLon': 121.608879, 'PositionLat': 23.976222, 'GeoHash': 'wsq2rk8zs'}",2023-07-13T07:38:39+08:00,1790
HUA970－081,970－081,{'Zh_tw': '花蓮文創園區'},"{'PositionLon': 121.60454, 'PositionLat': 23.9757, 'GeoHash': 'wsq2rhtsx'}",2023-07-13T07:38:39+08:00,1790
HUA970－082,970－082,{'Zh_tw': '遠東百貨(市區公車)'},"{'PositionLon': 121.600615, 'PositionLat': 23.97755, 'GeoHash': 'wsq2rhfz7'}",2023-07-13T07:38:39+08:00,1790
HUA970－083,970－083,{'Zh_tw': '明義國小(市區公車)'},"{'PositionLon': 121.602833, 'PositionLat': 23.979677, 'GeoHash': 'wsq2rjk7x'}",2023-07-13T07:38:39+08:00,1790
HUA970－085,970－085,{'Zh_tw': '郵政總局(市區公車)'},"{'PositionLon': 121.603955, 'PositionLat': 23.98395, 'GeoHash': 'wsq2rnjk9'}",2023-07-13T07:38:39+08:00,1790
HUA970－086,970－086,{'Zh_tw': '花蓮商校(市區公車)'},"{'PositionLon': 121.601909, 'PositionLat': 23.986525, 'GeoHash': 'wsq2rneg9'}",2023-07-13T07:38:39+08:00,1790
HUA970－087,970－087,{'Zh_tw': '商校街(市區公車)'},"{'PositionLon': 121.60474, 'PositionLat': 23.98788, 'GeoHash': 'wsq2rnvge'}",2023-07-13T07:38:39+08:00,1790
HUA970－088,970－088,{'Zh_tw': '花蓮電影城(市區公車)'},"{'PositionLon': 121.605863, 'PositionLat': 23.989508, 'GeoHash': 'wsq2rpntj'}",2023-07-13T07:38:39+08:00,1790
HUA970－089,970－089,{'Zh_tw': '花蓮後站(市區公車)'},"{'PositionLon': 121.59973, 'PositionLat': 23.99412, 'GeoHash': 'wsq2rpfpz'}",2023-07-13T07:38:39+08:00,1790
HUA970－090,970－090,{'Zh_tw': '自強國中(市區公車)'},"{'PositionLon': 121.598991, 'PositionLat': 23.998383, 'GeoHash': 'wsq2x0c8t'}",2023-07-13T07:38:39+08:00,1790
HUA970－091,970－091,{'Zh_tw': '四維高中'},"{'PositionLon': 121.591168, 'PositionLat': 24.000239, 'GeoHash': 'wsq2wc5gx'}",2023-07-13T07:38:39+08:00,1790
HUA970－092,970－092,{'Zh_tw': '東大門夜市'},"{'PositionLon': 121.6112, 'PositionLat': 23.97383, 'GeoHash': 'wsq2rk69d'}",2023-07-13T07:38:39+08:00,1790
HUA970－093,970－093,{'Zh_tw': '璽賓行旅'},"{'PositionLon': 121.621531, 'PositionLat': 23.982714, 'GeoHash': 'wsq2rtfj7'}",2023-07-13T07:38:39+08:00,1790
HUA970－094,970－094,{'Zh_tw': '煙波大飯店'},"{'PositionLon': 121.622397, 'PositionLat': 23.987061, 'GeoHash': 'wsq2rwdwz'}",2023-07-13T07:38:39+08:00,1790
HUA970－095,970－095,{'Zh_tw': '中美路民權八街口'},"{'PositionLon': 121.623794, 'PositionLat': 23.988784, 'GeoHash': 'wsq2rx58z'}",2023-07-13T07:38:39+08:00,1790
HUA970－096,970－096,{'Zh_tw': '麗軒國際飯店'},"{'PositionLon': 121.625644, 'PositionLat': 23.990988, 'GeoHash': 'wsq2rxmjd'}",2023-07-13T07:38:39+08:00,1790
