StationName,Geometry,UpdateDate
補給站36-興達港情人碼頭,POINT (120.21363500015525 22.8761290001533),2015-12-01T00:00:00
補給站35-黃金海岸遊客服務中心,POINT (120.17633100027547 22.931264000333385),2015-12-01T00:00:00
補給站34-臺灣歷史博物館,POINT (120.23507100032646 23.058766000350658),2015-12-01T00:00:00
補給站33-新港社文化園區,POINT (120.26749800013272 23.091679000085833),2015-12-01T00:00:00
補給站32-善化農會,POINT (120.32281599975863 23.138544000205513),2015-12-01T00:00:00
補給站31-7-11林鳳營門市,POINT (120.31546499980993 23.243642000378088),2015-12-01T00:00:00
補給站30-新營車站,POINT (120.32274299998949 23.306340000390776),2015-12-01T00:00:00
補給站2-浮洲橋租借站,POINT (121.44023799968397 24.99509700012652),2015-12-01T00:00:00
補給站29-後壁車站,POINT (120.36057099975187 23.366342000183238),2015-12-01T00:00:00
補給站28-南靖車站,POINT (120.38639099974489 23.413349999702803),2015-12-01T00:00:00
補給站27-7-11博元門市,POINT (120.43051700035937 23.471387999756416),2015-12-01T00:00:00
補給站26-OK博愛路門市,POINT (120.44142299967177 23.483979000330635),2015-12-01T00:00:00
補給站25-7-11友樂門市,POINT (120.43632300010643 23.537356000379191),2015-12-01T00:00:00
補給站24-7-11真嘉門市,POINT (120.47590299972376 23.672565999721144),2015-12-01T00:00:00
補給站23-斗南車站,POINT (120.48083999986613 23.672971000411394),2015-12-01T00:00:00
補給站22-7-11東尊門市,POINT (120.48873100043534 23.728485000082742),2015-12-01T00:00:00
補給站21-大橋路旁休憩站,POINT (120.46113999971124 23.804031999976871),2015-12-01T00:00:00
補給站20-全家永安門市,POINT (120.54693400000417 23.919918000315533),2015-12-01T00:00:00
補給站1-大稻埕碼頭,POINT (121.50830399992969 25.05694300041921),2015-12-01T00:00:00
補給站19-7-11新百川門市,POINT (120.56637199976808 23.959800000369796),2015-12-01T00:00:00
補給站18-7-11花壇門市,POINT (120.53908499957311 24.025846000092884),2015-12-01T00:00:00
補給站17-追分車站,POINT (120.57014900037609 24.120806000396669),2015-12-01T00:00:00
補給站16-7-11海濱門市,POINT (120.56870600038167 24.273188000226071),2015-12-01T00:00:00
補給站15-7-11甲渭門市,POINT (120.64172599975518 24.401413000309788),2015-12-01T00:00:00
補給站14-通霄車站,POINT (120.67844300044419 24.49131300019485),2015-12-01T00:00:00
補給站13-7-11白沙屯門市,POINT (120.71178600022381 24.569262000241167),2015-12-01T00:00:00
補給站12-苗栗竹南長青之森休憩站,POINT (120.83733400006406 24.673327000440793),2015-12-01T00:00:00
補給站11-崎頂車站,POINT (120.87161800007073 24.722546000297712),2015-12-01T00:00:00
補給站111-榴中派出所,POINT (120.58319670006767 23.722752599952571),2015-12-01T00:00:00
補給站110-7-11狀元門市,POINT (120.68017489955207 23.758752299578987),2015-12-01T00:00:00
補給站109-延平派出所,POINT (120.70594310039382 23.766720300101838),2015-12-01T00:00:00
補給站108-7-11社寮門市,POINT (120.71557739987713 23.804527500343909),2015-12-01T00:00:00
補給站107-集集車站,POINT (120.78488999987371 23.826450999613996),2015-12-01T00:00:00
補給站10-7-11新埔門市,POINT (121.08106500004976 24.827372999664249),2015-12-01T00:00:00
補給站106-7-11水里門市,POINT (120.85723889995529 23.807296799807489),2015-12-01T00:00:00
補給站105-頭社派出所,POINT (120.89604680011985 23.833788800213028),2015-12-01T00:00:00
補給站104-向山遊客服務中心,POINT (120.90211630032707 23.851145099666667),2015-12-01T00:00:00
補給站103-孔明廟,POINT (120.92060540021907 23.892106000191802),2015-12-01T00:00:00
補給站102-7-11鑫魚池門市,POINT (120.93064480021746 23.900854499835361),2015-12-01T00:00:00
補給站101-全家埔里金牛店,POINT (120.93131209987359 23.944018500153732),2015-12-01T00:00:00
補給站100-7-11鑫潭門市,POINT (120.93966610021039 23.9650404002943),2015-12-01T00:00:00
主要轉運站9-瑞穗車站,POINT (121.37681300031977 23.49732199961062),2015-12-01T00:00:00
主要轉運站9-瑞穗車站,POINT (121.37684099981232 23.497375000256113),2015-12-01T00:00:00
主要轉運站8-臺東車站,POINT (121.12311999958843 22.793660000308819),2015-12-01T00:00:00
主要轉運站7-太麻里車站,POINT (121.00500699997315 22.618825000173672),2015-12-01T00:00:00
主要轉運站6-枋寮站,POINT (120.59506700014197 22.367728000446903),2015-12-01T00:00:00
主要轉運站5-新左營車站,POINT (120.30600799986939 22.686098999868989),2015-12-01T00:00:00
主要轉運站4-嘉義車站,POINT (120.44084299990459 23.479314000141017),2015-12-01T00:00:00
主要轉運站3-新烏日車站,POINT (120.61410899963073 24.108829000258197),2015-12-01T00:00:00
主要轉運站2-新竹車站,POINT (120.97157399964044 24.801667000431792),2015-12-01T00:00:00
主要轉運站1-松山車站,POINT (121.5779039998697 25.048511000082613),2015-12-01T00:00:00
主要轉運站11-冬山車站,POINT (121.79212599971515 24.636280999868291),2015-12-01T00:00:00
主要轉運站10-花蓮車站,POINT (121.60091399978137 23.992708999920467),2015-12-01T00:00:00
