RouteID,OperatorCode,RouteName,RailRouteType,LineNo,LineID,StartStationID,StartStationName,EndStationID,EndStationName,TravelTime,RouteLength,SrcUpdateTime,UpdateTime,VersionID
A-1,TYMC,"{'Zh_tw': '台北車站 - 環北站', 'En': 'Taipei Main Station - Huanbei Station'}",34,A,A,A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A21,"{'Zh_tw': '環北站', 'En': 'Huanbei Station'}",82.0,50.81,2022-08-15T00:00:00+08:00,2022-08-30T12:00:00+08:00,2
A-1,TYMC,"{'Zh_tw': '環北站 - 台北車站', 'En': 'Huanbei Station - Taipei Main Station'}",34,A,A,A21,"{'Zh_tw': '環北站', 'En': 'Huanbei Station'}",A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",82.0,50.81,2022-08-15T00:00:00+08:00,2022-08-30T12:00:00+08:00,2
A-2,TYMC,"{'Zh_tw': '台北車站 - 機場第二航廈站', 'En': 'Taipei Main Station - Airport Terminal 2 Station'}",34,A,A,A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",A13,"{'Zh_tw': '機場第二航廈站', 'En': 'Airport Terminal 2 Station'}",52.0,35.896,2022-08-15T00:00:00+08:00,2022-08-30T12:00:00+08:00,2
A-2,TYMC,"{'Zh_tw': '機場第二航廈站 - 台北車站', 'En': 'Airport Terminal 2 Station -Taipei Main Station'}",34,A,A,A13,"{'Zh_tw': '機場第二航廈站', 'En': 'Airport Terminal 2 Station'}",A1,"{'Zh_tw': '台北車站', 'En': 'Taipei Main Station'}",52.0,35.896,2022-08-15T00:00:00+08:00,2022-08-30T12:00:00+08:00,2
A-3,TYMC,"{'Zh_tw': '環北站 - 機場第一航廈站', 'En': 'Huanbei Station - Airport Terminal 1 Station'}",34,A,A,A21,"{'Zh_tw': '環北站', 'En': 'Huanbei Station'}",A12,"{'Zh_tw': '機場第一航廈站', 'En': 'Airport Terminal 1 Station'}",31.0,15.934,2022-08-15T00:00:00+08:00,2022-08-30T12:00:00+08:00,2
