RouteUID,RouteID,RouteName
KHH15197,15197,T525(每週二、四預約)
KHH15194,15194,T526(每週二、四預約)
KHH15211,15211,紅50 (預約)
KHH15217,15217,T603C(每周二、四、五預約)
KHH15212,15212,紅51A (預約)
KHH160,160,橘7A(延駛中興北路一)
KHH15197,15197,T525(每週二、四預約)
KHH15217,15217,T603C(每周二、四、五預約)
KHH15360,15360,紅3 (預約)
KHH15215,15215,橘23 部分延駛 (預約)
KHH15400,15400,T402 (預約)
KHH15500,15500,T702A
KHH160,160,橘7A(延駛中興北路一)
KHH15360,15360,紅3 (預約)
KHH15215,15215,橘23 部分延駛 (預約)
KHH15400,15400,T402 (預約)
KHH15203,15203,H51
KHH15500,15500,T702A
KHH161,161,16A繞(經文信路)
KHH2071,2071,168環東幹線
KHH162,162,16B
KHH15203,15203,H51
KHH1601,1601,橘7A
KHH179,179,紅2
KHH2061,2061,168環西幹線
KHH15206,15206,T601(每週一、三發車)
KHH161,161,16A繞(經文信路)
KHH2071,2071,168環東幹線
KHH162,162,16B
KHH1601,1601,橘7A
KHH179,179,紅2
KHH2061,2061,168環西幹線
KHH15206,15206,T601(每週一、三發車)
KHH15213,15213,紅51B (預約)
KHH2102,2102,紅35(繞駛崇實社區)
KHH2114,2114,紅3E林園幹線(延駛鳳鳴里)
KHH211,211,紅3A林園幹線(經鳳鳴國小)
KHH2072,2072,168環東幹線區間車
KHH2111,2111,紅3B林園幹線
KHH2112,2112,紅3C林園幹線(不經西溪里)
KHH2114,2114,紅3E林園幹線(延駛鳳鳴里)
KHH2102,2102,紅35(繞駛崇實社區)
KHH15213,15213,紅51B (預約)
KHH211,211,紅3A林園幹線(經鳳鳴國小)
KHH2072,2072,168環東幹線區間車
KHH2111,2111,紅3B林園幹線
KHH15216,15216,T603A(每周二、四、五預約)
KHH2112,2112,紅3C林園幹線(不經西溪里)
KHH219,219,219A
KHH16,16,16A
KHH217,217,217A
KHH15216,15216,T603A(每周二、四、五預約)
KHH213,213,紅5
KHH2174,2174,217E(大華里發車)
KHH2173,2173,217D(高應大發車)
KHH219,219,219A
KHH218,218,218A內惟幹線
KHH2174,2174,217E(大華里發車)
KHH213,213,紅5
KHH2173,2173,217D(高應大發車)
KHH16,16,16A
KHH217,217,217A
KHH218,218,218A內惟幹線
KHH245,245,245
KHH239,239,239
KHH23,23,23(部分延駛文山高中)
KHH2192,2192,219B
KHH245,245,245
KHH2062,2062,168環西幹線區間車
KHH1602,1602,橘7A(中興北路一發車)
KHH224,224,224
KHH24,24,24(假日停駛)
KHH239,239,239
KHH23,23,23(部分延駛文山高中)
KHH2192,2192,219B
KHH2062,2062,168環西幹線區間車
KHH28,28,28
KHH24,24,24(假日停駛)
KHH1602,1602,橘7A(中興北路一發車)
KHH224,224,224
KHH28,28,28
KHH2533,2533,紅70B(延駛隆后宮)
KHH253,253,紅70A
KHH2113,2113,紅3D林園幹線(不經西溪里.宏平路)
KHH26,26,26A
KHH248,248,248
KHH25,25,25
