CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-T76-W-30.24-M,NFB,20.07.1,1007600103000N,道路異動,數化精進,"StartNode,EndNode,Length",['1007600103000N'],"[{'LinkID': '1007600103000N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-4.07-M,NFB,20.07.1,1006400000300F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000300F'],"[{'LinkID': '1006400000300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-W-32.04-M,NFB,20.07.1,1007600103100M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600103100M'],"[{'LinkID': '1007600103100M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T66-E-2.473-M,NFB,20.07.1,6358400300020H,道路新增,道路分段,,['6358400300023H'],"[{'LinkID': '6358400300023H', 'RoadID': '635840H', 'RoadName': '台66側車道', 'RoadClass': 6, 'RoadDirection': 'SE', 'RoadDirectionID': '3', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-3.02-M,NFB,20.07.1,1006400000280F,道路異動,數化精進,"EndNode,Length",['1006400000280F'],"[{'LinkID': '1006400000280F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-3.37-M,NFB,20.07.1,1006400000300F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000300F'],"[{'LinkID': '1006400000300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-N1-S-83.75-M,NFB,20.07.1,0000101027010J,道路新增,道路分段,,['0000101027013J'],"[{'LinkID': '0000101027013J', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-W-3.17-M,NFB,20.07.1,1006400100300F,道路異動,數化精進,"StartNode,Length",['1006400100300F'],"[{'LinkID': '1006400100300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-4.77-M,NFB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-W-4.56-M,NFB,20.07.1,1006400100500F,道路異動,數化精進,"EndNode,Length",['1006400100500F'],"[{'LinkID': '1006400100500F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-W-4.04-M,NFB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-N5-N-53.91-M,NFB,20.07.1,0000501107020G,道路新增,道路分段,,['0000501107023G'],"[{'LinkID': '0000501107023G', 'RoadID': '000050', 'RoadName': '國道5號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-31.64-M,NFB,20.07.1,1007600003100M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600003100M'],"[{'LinkID': '1007600003100M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-29.04-M,NFB,20.07.1,1007600002800N,道路異動,數化精進,"StartNode,EndNode,Length",['1007600002800N'],"[{'LinkID': '1007600002800N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-4.94-M,NFB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
