CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-T76-W-32.39-M,NFB,20.07.1,1007600103200M,道路異動,數化精進,"EndNode,Length",['1007600103200M'],"[{'LinkID': '1007600103200M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-4.59-M,NFB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-4.24-M,NFB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T62-W-17.99-M,NFB,20.07.1,1006200101800F,道路異動,數化精進,"EndNode,Length",['1006200101800F'],"[{'LinkID': '1006200101800F', 'RoadID': '100620', 'RoadName': '台62線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-W-28.84-M,NFB,20.07.1,1007600102800N,道路異動,數化精進,"StartNode,EndNode,Length",['1007600102800N'],"[{'LinkID': '1007600102800N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-W-3.52-M,NFB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-N3K-N-1.09-M,NFB,20.10.2,3000260000291C,道路新增,錯誤修正,,['3000260100118C'],"[{'LinkID': '3000260100118C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-S-0-M,NFB,20.10.2,3000260100071C,道路新增,錯誤修正,,['3000260000065C'],"[{'LinkID': '3000260000065C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-N-3.035-M,NFB,20.10.2,3000260100415C,道路新增,錯誤修正,,['3000260000360C'],"[{'LinkID': '3000260000360C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-N3K-S-2.73-M,NFB,20.10.2,3000260100355C,道路新增,錯誤修正,,['3000260000322C'],"[{'LinkID': '3000260000322C', 'RoadID': '300026', 'RoadName': '台2己線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
