StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
YUN640－016,640－016,{'Zh_tw': '稅務局(雲林縣政府)'},"{'PositionLon': 120.5278855, 'PositionLat': 23.6967725, 'GeoHash': 'wsjwy9vex'}",2023-07-13T07:38:39+08:00,1790
YUN640－019,640－019,{'Zh_tw': '雲林科技大學'},"{'PositionLon': 120.53596875, 'PositionLat': 23.69357375, 'GeoHash': 'wsjwyc795'}",2023-07-13T07:38:39+08:00,1790
YUN640－064,640－064,{'Zh_tw': '鎮西國小'},"{'PositionLon': 120.5386, 'PositionLat': 23.70757, 'GeoHash': 'wsjwygvd8'}",2023-07-13T07:38:39+08:00,1790
YUN640－086,640－086,{'Zh_tw': '成大醫院'},"{'PositionLon': 120.544561, 'PositionLat': 23.7029955, 'GeoHash': 'wsjwz4czg'}",2023-07-13T07:38:39+08:00,1790
YUN640－090,640－090,{'Zh_tw': '台電大樓'},"{'PositionLon': 120.535247, 'PositionLat': 23.7121135, 'GeoHash': 'wsjwyuej4'}",2023-07-13T07:38:39+08:00,1790
YUN640－092,640－092,{'Zh_tw': '水岸藝術公園'},"{'PositionLon': 120.541205, 'PositionLat': 23.70138, 'GeoHash': 'wsjwyfxqt'}",2023-07-13T07:38:39+08:00,1790
YUN640－098,640－098,{'Zh_tw': '雲中街'},"{'PositionLon': 120.53955, 'PositionLat': 23.70775, 'GeoHash': 'wsjwygy5x'}",2023-07-13T07:38:39+08:00,1790
YUN640－099,640－099,{'Zh_tw': '社口遊客中心'},"{'PositionLon': 120.5441715, 'PositionLat': 23.69996, 'GeoHash': 'wsjwz43w6'}",2023-07-13T07:38:39+08:00,1790
YUN640－100,640－100,{'Zh_tw': '環球科技大學側門'},"{'PositionLon': 120.555285, 'PositionLat': 23.681224, 'GeoHash': 'wsjwxr19j'}",2023-07-13T07:38:39+08:00,1790
YUN640－101,640－101,{'Zh_tw': '受天宮'},"{'PositionLon': 120.550027, 'PositionLat': 23.7037675, 'GeoHash': 'wsjwz5ju7'}",2023-07-13T07:38:39+08:00,1790
YUN640－102,640－102,{'Zh_tw': '斗六棒球場(市區公車)'},"{'PositionLon': 120.536941, 'PositionLat': 23.715944, 'GeoHash': 'wsjwyvk76'}",2023-07-13T07:38:39+08:00,1790
YUN640－104,640－104,{'Zh_tw': '鎮北里(市區公車)'},"{'PositionLon': 120.54259, 'PositionLat': 23.717453, 'GeoHash': 'wsjwzj8kj'}",2023-07-13T07:38:39+08:00,1790
YUN640－105,640－105,{'Zh_tw': '斗六火車站(市區公車)'},"{'PositionLon': 120.540291, 'PositionLat': 23.71192, 'GeoHash': 'wsjwyuwgb'}",2023-07-13T07:38:39+08:00,1790
YUN640－106,640－106,{'Zh_tw': '鎮西國小(市區公車)'},"{'PositionLon': 120.537871, 'PositionLat': 23.70764, 'GeoHash': 'wsjwygugp'}",2023-07-13T07:38:39+08:00,1790
YUN640－107,640－107,{'Zh_tw': '雲林溪(環球中華影城)(市區公車)'},"{'PositionLon': 120.535406, 'PositionLat': 23.70592, 'GeoHash': 'wsjwyge0y'}",2023-07-13T07:38:39+08:00,1790
YUN640－108,640－108,{'Zh_tw': '慈濟斗六分院(市區公車)'},"{'PositionLon': 120.529985, 'PositionLat': 23.702126, 'GeoHash': 'wsjwydz6b'}",2023-07-13T07:38:39+08:00,1790
YUN640－109,640－109,{'Zh_tw': '雲林監理站(市區公車)'},"{'PositionLon': 120.528221, 'PositionLat': 23.701069, 'GeoHash': 'wsjwydtux'}",2023-07-13T07:38:39+08:00,1790
YUN640－110,640－110,{'Zh_tw': '稅務局(雲林縣政府)(市區公車)'},"{'PositionLon': 120.527862, 'PositionLat': 23.696424, 'GeoHash': 'wsjwy9v9w'}",2023-07-13T07:38:39+08:00,1790
YUN640－111,640－111,{'Zh_tw': '雲林科技大學(市區公車)'},"{'PositionLon': 120.533646, 'PositionLat': 23.69599, 'GeoHash': 'wsjwyc9zj'}",2023-07-13T07:38:39+08:00,1790
YUN640－112,640－112,{'Zh_tw': '鎮南國小(市區公車)'},"{'PositionLon': 120.541918, 'PositionLat': 23.698515, 'GeoHash': 'wsjwyfpvy'}",2023-07-13T07:38:39+08:00,1790
YUN640－113,640－113,{'Zh_tw': '社口遊客中心(市區公車)'},"{'PositionLon': 120.544229, 'PositionLat': 23.699932, 'GeoHash': 'wsjwz43wh'}",2023-07-13T07:38:39+08:00,1790
YUN640－114,640－114,{'Zh_tw': '成大醫院(市區公車)'},"{'PositionLon': 120.544708, 'PositionLat': 23.702725, 'GeoHash': 'wsjwz4cyr'}",2023-07-13T07:38:39+08:00,1790
YUN640－115,640－115,{'Zh_tw': '受天宮(市區公車)'},"{'PositionLon': 120.549991, 'PositionLat': 23.703696, 'GeoHash': 'wsjwz5ju4'}",2023-07-13T07:38:39+08:00,1790
