StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
THB103－045,103－045,{'Zh_tw': '圓環(重慶)'},"{'PositionLon': 121.514049, 'PositionLat': 25.052881, 'GeoHash': 'wsqqt0ezd'}",2023-07-13T07:38:39+08:00,1790
THB103－046,103－046,{'Zh_tw': '朝陽公園(鈕釦街)'},"{'PositionLon': 121.513847, 'PositionLat': 25.055744, 'GeoHash': 'wsqqt178m'}",2023-07-13T07:38:39+08:00,1790
THB103－048,103－048,{'Zh_tw': '民權大龍街口'},"{'PositionLon': 121.51664, 'PositionLat': 25.06296, 'GeoHash': 'wsqqt4tdq'}",2023-07-13T07:38:39+08:00,1790
THB103－050,103－050,{'Zh_tw': '臺北轉運站'},"{'PositionLon': 121.517625, 'PositionLat': 25.048845, 'GeoHash': 'wsqqt0n2j'}",2023-07-13T07:38:39+08:00,1790
THB104－003,104－003,{'Zh_tw': '民權建國路口'},"{'PositionLon': 121.5375652, 'PositionLat': 25.06248002, 'GeoHash': 'wsqqtdkzw'}",2023-07-13T07:38:39+08:00,1790
THB104－004,104－004,{'Zh_tw': '民權松江路口'},"{'PositionLon': 121.53316, 'PositionLat': 25.0625, 'GeoHash': 'wsqqtd3xx'}",2023-07-13T07:38:39+08:00,1790
THB104－006,104－006,{'Zh_tw': '捷運中山國小站'},"{'PositionLon': 121.525695, 'PositionLat': 25.06268, 'GeoHash': 'wsqqt6s29'}",2023-07-13T07:38:39+08:00,1790
THB104－007,104－007,{'Zh_tw': '民權中山路口'},"{'PositionLon': 121.52255, 'PositionLat': 25.06275, 'GeoHash': 'wsqqt6d10'}",2023-07-13T07:38:39+08:00,1790
THB104－008,104－008,{'Zh_tw': '圓山飯店'},"{'PositionLon': 121.52576, 'PositionLat': 25.0765415, 'GeoHash': 'wsqqtmh37'}",2023-07-13T07:38:39+08:00,1790
THB104－009,104－009,{'Zh_tw': '捷運劍南路站'},"{'PositionLon': 121.555215, 'PositionLat': 25.084885, 'GeoHash': 'wsqqwn9f1'}",2023-07-13T07:38:39+08:00,1790
THB104－010,104－010,{'Zh_tw': '南京龍江路口'},"{'PositionLon': 121.54055, 'PositionLat': 25.051965, 'GeoHash': 'wsqqt8x4k'}",2023-07-13T07:38:39+08:00,1790
THB104－011,104－011,{'Zh_tw': '馬偕醫院'},"{'PositionLon': 121.52146, 'PositionLat': 25.05779, 'GeoHash': 'wsqqt39hp'}",2023-07-13T07:38:39+08:00,1790
