PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,Direction,CurrentStop,DestinationStop,StopSequence,StopStatus,IsLastBus,DataTime,TransTime,SrcRecTime,SrcUpdateTime,UpdateTime
,TNN10570,10570,"{'Zh_tw': '海佃路四段', 'En': 'Sec. 4 Hai-Dian Road'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,37,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7350,7350,"{'Zh_tw': '新市市場', 'En': 'Sinshih Market'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,30,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22539,22539,"{'Zh_tw': '下南勢', 'En': 'Sia Nanshih'}",TNN1813,1813,"{'Zh_tw': '黃11-2', 'En': 'Y11-2'}",255,,,42,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22538,22538,"{'Zh_tw': '下南勢', 'En': 'Sia Nanshih'}",TNN1813,1813,"{'Zh_tw': '黃11-2', 'En': 'Y11-2'}",255,,,32,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22537,22537,"{'Zh_tw': '枋子林慶安宮', 'En': 'Fangzihlin Cingan Temple'}",TNN1507,1507,"{'Zh_tw': '黃7', 'En': 'Y7'}",255,,,33,3,False,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22536,22536,"{'Zh_tw': '枋子林慶安宮', 'En': 'Fangzihlin Cingan Temple'}",TNN1507,1507,"{'Zh_tw': '黃7', 'En': 'Y7'}",255,,,16,3,False,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22535,22535,"{'Zh_tw': '北勢蔗場', 'En': 'Beishih Jhechang'}",TNN1116,1116,"{'Zh_tw': '綠16', 'En': 'G16'}",255,,,8,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22534,22534,"{'Zh_tw': '北勢蔗場', 'En': 'Beishih Jhechang'}",TNN1116,1116,"{'Zh_tw': '綠16', 'En': 'G16'}",255,,,16,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22533,22533,"{'Zh_tw': '北勢蔗場', 'En': 'Beishih Jhechang'}",TNN1613,1613,"{'Zh_tw': '紅13', 'En': 'R13'}",255,,,22,3,False,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN22532,22532,"{'Zh_tw': '北勢蔗場', 'En': 'Beishih Jhechang'}",TNN1613,1613,"{'Zh_tw': '紅13', 'En': 'R13'}",255,,,3,3,False,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:42:29+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
