CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-T76-E-31.64-M,THB,20.07.1,1007600003100M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600003100M'],"[{'LinkID': '1007600003100M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-W-29.64-M,THB,20.07.1,1007600102900N,道路異動,數化精進,"StartNode,EndNode,Length",['1007600102900N'],"[{'LinkID': '1007600102900N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-31.24-M,THB,20.07.1,1007600003020M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600003020M'],"[{'LinkID': '1007600003020M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-30.84-M,THB,20.07.1,1007600003020M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600003020M'],"[{'LinkID': '1007600003020M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T66-E-2.473-M,THB,20.07.1,1006600000220H,道路刪除,道路分段,,['1006600000220H'],"[{'LinkID': '1006600000220H', 'RoadID': '100660', 'RoadName': '台66線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-27.84-M,THB,20.07.1,1007600002750N,道路異動,數化精進,"EndNode,Length",['1007600002750N'],"[{'LinkID': '1007600002750N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-32.04-M,THB,20.07.1,1007600003100M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600003100M'],"[{'LinkID': '1007600003100M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-18,THB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-17-062A-000-07,THB,20.07.1,1006210000000C,道路新增,修改路名/道路結構改變,,['1006211001000C'],"[{'LinkID': '1006211001000C', 'RoadID': '100621', 'RoadName': '台62甲線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-12,THB,20.07.1,1006400100300F,道路異動,數化精進,"StartNode,Length",['1006400100300F'],"[{'LinkID': '1006400100300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
