RouteName,RouteLength,Geometry
環島1號線(基隆市台5線公路總局養護路段18.6k~20.8k),2250,"LINESTRING (121.6889290125639 25.071612604937798, 121.68914925023773 25.071899409530204, 121.68941447829559 25.072283153844523, 121.68967429693134 25.072709597070286, 121.68995485033611 25.073245099281962, 121.69036833882785 25.073854607604119, 121.69074394427764 25.074421228157178, 121.6911830706423 25.075118238715788, 121.69161099685005 25.075736956095682, 121.69197211062442 25.076225757412828, 121.69249718879428 25.077026056907073, 121.69288122898558 25.07755202450636, 121.69325258693743 25.078046750557121, 121.69362721302548 25.078542209555394, 121.69401964209283 25.078850725580594, 121.69444867716481 25.079116368225868, 121.69485613300424 25.079304614316527, 121.69536634178326 25.079458605230514, 121.69628006916992 25.079705142678222, 121.69709841086308 25.079953638849418, 121.69814494563275 25.080320224099125, 121.69899840944913 25.080520444662852, 121.69963567624552 25.080771232306574, 121.70028399481055 25.08086630773397, 121.70116547340797 25.0807209404191, 121.70183343406575 25.0806150461475, 121.70222000315073 25.080699550943564, 121.70310740288437 25.08174053959425, 121.7035929603469 25.082321626641829, 121.70446627759668 25.083492574522722)"
外木山自行車專用道,1480,"LINESTRING (121.7323747102248 25.160684998314082, 121.73236588427824 25.160831570720461, 121.73232168799552 25.160918635886389, 121.73227336382479 25.16099223370469, 121.73123101090255 25.161943697543677, 121.73003816992571 25.163174445844049, 121.72996629161116 25.163202560449861, 121.72963861822768 25.163195481886021, 121.72912433911699 25.162744607677553, 121.72804471559118 25.163035602211323, 121.72768640050708 25.163046689952807, 121.72716210204942 25.163012603848642, 121.72651022306843 25.163042751821592, 121.72610040381062 25.163264777347649, 121.72554043554271 25.163740502522217, 121.7249923958824 25.164182755829586, 121.7247147221068 25.164267558301219, 121.72424793709274 25.164288042159455, 121.72369309585974 25.164160449944859, 121.72220033637643 25.163821968509069, 121.72102298442326 25.163774849429785, 121.72050783926545 25.163739016842214, 121.71995602425113 25.163977279627829, 121.71954151412967 25.164092060100529, 121.71896861271136 25.164011625636078, 121.71872650082742 25.164092154529385, 121.71825987769125 25.164365413533062, 121.71770484220474 25.164495369165991, 121.7170057308299 25.16468103600107, 121.71652297565481 25.164961815135712, 121.71583058041699 25.164998657661954, 121.71541626904559 25.165014572064877, 121.7149922719758 25.165152198914882, 121.71476494404703 25.165123559105041, 121.71339602660544 25.164732842346837, 121.71308268571738 25.164558988106876, 121.7128242745207 25.164360232538741, 121.71270769810189 25.164170632968364, 121.71239209991552 25.164000616135581, 121.71204298219789 25.163871095774482, 121.71132061525429 25.163797101355215, 121.71093328174561 25.163825466871856, 121.7100574553873 25.163843229381598, 121.70947642859437 25.163960251864182, 121.70878603254937 25.164104039070196, 121.70829529858918 25.164244666058551, 121.70795987215047 25.16434857282843, 121.70787868225545 25.16437477997215)"
基隆市自行車道濱海環台路網串聯工程-104環島路線,9100,"LINESTRING (121.74136934891635 25.089939342126968, 121.74132795671994 25.090101642776631, 121.74082077236085 25.0909355724188, 121.740310969176 25.091382987834663, 121.73996953976246 25.091648049517914, 121.73953030727796 25.092318431150716, 121.73909761106597 25.092948795650443, 121.73900692612881 25.093261843359414, 121.73913745103255 25.094071878914121, 121.73891513682418 25.097477363289727, 121.73883338305427 25.097780878185006, 121.7386203579432 25.098230149801623, 121.73845694753015 25.098399575779865, 121.73753122768403 25.098879665364336, 121.73640926947223 25.099875343472377, 121.73610487953658 25.100536415323347, 121.73596459429064 25.100891695195628, 121.73599891241997 25.102452771678145, 121.73599826131078 25.102617297250504, 121.73574528471715 25.103251128636714, 121.73408606252178 25.106722577385085, 121.73373432328049 25.107269650274191, 121.73233947478695 25.108439900281212, 121.73165485868481 25.108866483801251, 121.73128579130628 25.109066960671726, 121.73115164303397 25.109082427212286, 121.73095078125357 25.109028917550575, 121.73005523276288 25.108664264044592, 121.72891768030672 25.108066624075491, 121.7273317609521 25.107024660559659, 121.7268032986334 25.106539236196852, 121.72653213415072 25.106183398744918, 121.72640385035743 25.105855289190288, 121.7263414446021 25.104045685959704, 121.72618124027213 25.103481258853037, 121.72556307327727 25.1026803505178, 121.72358092162233 25.101460313142979, 121.722346789173 25.100502936261535, 121.72176544671811 25.100327404785958, 121.72029877836599 25.100186008877245, 121.71890069501114 25.099911033967089, 121.71842083925037 25.099712842273902, 121.71663644401679 25.098791781815351, 121.71575445190649 25.098378748380583, 121.71382388896131 25.097664056251233, 121.71154709242444 25.096811927028853, 121.71130149656688 25.09667442878191, 121.71095926855548 25.096382512443029, 121.71070632883402 25.096046138118822, 121.7106557131907 25.095808587596309, 121.71048803279655 25.092737250823518, 121.71034421501361 25.092560804737388, 121.71020875193244 25.092430098170553, 121.70843295241889 25.091220319362321, 121.70811142500236 25.090921309171108, 121.70766106970268 25.090451464663431, 121.70745696856432 25.09031886232566, 121.7069241166547 25.090221689679311, 121.70640244691549 25.090207175520788, 121.70619313600446 25.090165072859861, 121.70593526889763 25.089976110908822, 121.70540022354157 25.089350706170194, 121.70530099324628 25.088991771453152, 121.70521140278413 25.087162995575852, 121.70527392904864 25.08564995727977, 121.70525782398943 25.085200871822849, 121.7051422943814 25.084579701092366, 121.70491512113597 25.0841447898502, 121.70465410190536 25.083764531308134, 121.70238384433901 25.081033356804028, 121.70217091905272 25.080825523479177, 121.70199267881912 25.080702622128342, 121.70171230258075 25.080671357197446, 121.70038860844761 25.080955757901961, 121.70001663985613 25.080924913853721, 121.69518268942966 25.079499323834796, 121.69463588273982 25.079283852567812, 121.69413567082461 25.079037014746461, 121.69379791514177 25.078766476191959, 121.69357050447525 25.078581393916238, 121.69141441314468 25.075647096736191, 121.69031226160166 25.073998980268755, 121.68911738545899 25.071958464411637, 121.68910114819948 25.071951064789857)"
基隆市自行車道濱海環台路網串聯工程,22300,"MULTILINESTRING ((121.74223609931664 25.130429807289829, 121.74237913918603 25.130482308811565, 121.7425224281676 25.130534900265502, 121.74263435239357 25.130602471726718, 121.7427089592511 25.1306750236335, 121.74274093734448 25.130708897497698, 121.74281565481863 25.130776691990775, 121.74290109041306 25.130863949611637, 121.74306736966344 25.131102080196911, 121.7433262610981 25.131461177691222, 121.74347673026693 25.131634775624434, 121.74364770397847 25.131566923574724, 121.74403640445655 25.132134287867132, 121.74520010739911 25.133800502291422, 121.74576170523858 25.13469730803439, 121.74651806205895 25.135922940091689, 121.74676961322712 25.136271867152971, 121.74693024743306 25.136383362402285, 121.74744870659265 25.13664433037161, 121.74791231160395 25.136885215580264, 121.74808505787917 25.136938166763059, 121.74830828310087 25.136986267901989, 121.74868410798524 25.137202045837796, 121.74935183212142 25.137533047612123, 121.75078101403267 25.138323781017732, 121.75171937205141 25.138883887781219, 121.75248273279192 25.139293337417655, 121.75264904171991 25.139380900807964, 121.75283515371939 25.139361348647355, 121.75300888834954 25.139278855634757, 121.75321193368382 25.139196926496993, 121.7533773972491 25.139187246194524, 121.75367918634538 25.139216036191158, 121.75408730048855 25.139356253987955, 121.75440445360266 25.139462791274866, 121.75476268864725 25.139645573984126, 121.75502921442671 25.139840831189474, 121.75523245311524 25.140059799919868, 121.75543791492794 25.140290114497247, 121.75555260097178 25.140418707657261, 121.75578770893571 25.140525172099046, 121.75600028078838 25.140630994424896, 121.75629140932119 25.140688423332108, 121.75650870081597 25.140755400341504, 121.75671642352415 25.140837006622633, 121.75683909464851 25.140856267402853, 121.75702577501954 25.140841799109808, 121.75764084025263 25.140646166887166, 121.757933517418 25.140570245220715, 121.75818599488787 25.140574198640422, 121.75834952131345 25.140616567500615, 121.75866337571426 25.140802953793354, 121.75935847161622 25.1412786825652, 121.75957920931307 25.141413309276857, 121.7598574370711 25.141548932437331, 121.76024147546377 25.141717883573506, 121.7604758243998 25.1418384367945, 121.76058764790173 25.141891459922988, 121.7606625326498 25.142026824978018, 121.76079610625538 25.142297511920674, 121.76102166251974 25.142719229209092, 121.76127041050108 25.143112569289713, 121.761553988326 25.143572363873545, 121.76165322851375 25.143820494919964, 121.76175242553404 25.144171739534215, 121.76178826351759 25.14458798444798, 121.76179848611127 25.144951874429523, 121.7616500934771 25.146088176827959, 121.76165554067074 25.146366598839506, 121.76167641663335 25.146711512226545, 121.76175993487311 25.147188827402488, 121.7619113977928 25.147700514667065, 121.76200612248465 25.147977665037274, 121.76208569629796 25.148139004311645, 121.76227837604631 25.148328695612861, 121.76244550335741 25.148457211431207, 121.76266090627587 25.148509492619041, 121.76282377259906 25.148514088154684, 121.76297599994246 25.148480795252567, 121.76319119871494 25.148419002834771, 121.76343329441102 25.148428696627093, 121.76344386684104 25.148433472027136, 121.76368124019712 25.148495568415797, 121.76369711952646 25.148505128209138, 121.7639162807119 25.14867045058088, 121.76415000102179 25.148846611581916, 121.76439154363493 25.149085745810567, 121.76447018934778 25.149267789277076, 121.76456185544532 25.14949563521543, 121.76473007003676 25.149840824694365, 121.76487731873328 25.15002709137724, 121.76527364456308 25.15031290042009, 121.76594323479253 25.150713139200093, 121.76659307770842 25.150947557383915, 121.76720604752109 25.151128141250751, 121.76741855102534 25.151207485736904, 121.76742589219123 25.151214137122793, 121.76751438727922 25.151347631587953, 121.76807181586173 25.152285579515933, 121.76817646367294 25.152440384316321, 121.76826494257307 25.152520470743184, 121.76840432040308 25.152539680262066, 121.76868493945847 25.152459358212866, 121.76938929837752 25.152157525949121, 121.769976065543 25.151930725922341, 121.7706636817835 25.151667640049595, 121.77129294101644 25.15142466121921, 121.77166470815985 25.151243687945907, 121.77191067453805 25.151131438165407, 121.77206652435063 25.15105584924811, 121.77219573534501 25.151001317057194, 121.77243320942512 25.151002326096545, 121.77275232665863 25.151011837326507, 121.77318205510778 25.15106412211162, 121.77397098087613 25.151031302252875, 121.7745128655763 25.15093697416205, 121.77507613975206 25.150923853053428, 121.77572163444597 25.150925836058548, 121.77605376666804 25.151054934637557, 121.77641243338712 25.15122030107608, 121.77676315549525 25.151310390662047, 121.77712718667044 25.151284422737945, 121.7775868319668 25.151172324043557, 121.77962443312117 25.150615474624487, 121.78090914254301 25.150121022866983, 121.78144979607134 25.149873954819213, 121.78197341014481 25.149557182118315, 121.78245368049306 25.149256308531847, 121.78264720830214 25.148898901762948, 121.78318307923576 25.148096560807687, 121.78344080065244 25.147350352836554, 121.7836008467018 25.146638587101165, 121.78375498510457 25.14602846813932, 121.78395953320592 25.145761105090969, 121.78441577366902 25.145461977987964, 121.78666186015676 25.144055392442453, 121.78699714989864 25.143920272902335, 121.78749508383112 25.143788577081239, 121.7880112704039 25.143618955050783, 121.78838289005841 25.143430385204169, 121.78890522169866 25.1430369686812, 121.78916964935991 25.142793095924674, 121.78989527814463 25.142253129478377, 121.79035843709221 25.141977527740778, 121.79087864633254 25.141789215100232, 121.79153401828034 25.14151113842837, 121.79202495638674 25.141288934836552, 121.79219133096524 25.141159284073751, 121.79236239191096 25.14090901623814, 121.79246592456286 25.140519343592871, 121.79265588835858 25.13998518137106, 121.79280237443015 25.139813865017913, 121.79314062474009 25.1396577624958, 121.79345695317591 25.139597948586527, 121.79383351280649 25.139622770774281, 121.79445554598669 25.139682152109685, 121.79490455769928 25.139713786661957, 121.79527258096493 25.139722202517703, 121.79581918440795 25.139668603823054, 121.79583388382673 25.139668913189837, 121.79611187326441 25.13972124294105, 121.79612658347514 25.139721560401767, 121.79641154715523 25.139793983705431, 121.79643343125792 25.1398010883496, 121.79668787914238 25.139919417547105, 121.79689711271169 25.140083426009369, 121.79713111540866 25.140154957185587, 121.79714585439774 25.140155275545567, 121.79741971234989 25.14011472061793, 121.79775545894734 25.139955858975782, 121.79802885734591 25.139928640094695, 121.79916353736746 25.139960250365334, 121.79955991715656 25.140015897715557, 121.79994743232817 25.1401708958702, 121.80020524997235 25.140324724906179, 121.80054456777759 25.140298670647155, 121.8009564770598 25.140244526064066, 121.80151300272291 25.140082485318487, 121.80191813021759 25.1398329711148, 121.80215944710085 25.139495159673913, 121.80236246995207 25.139207215640567, 121.80245530516822 25.13892920371984, 121.8025311108222 25.138642083465413, 121.80251492842126 25.138446695858363, 121.80245287520006 25.138290501605411, 121.80225958840936 25.137972204553648, 121.80196885557825 25.137441454359703, 121.80188730325654 25.137096524784852, 121.80184218337013 25.136802540005249, 121.80185363263911 25.136464554995257, 121.8019310840524 25.136201621108, 121.80207993713941 25.1359565180789, 121.80231240289515 25.135795154522839, 121.80266553428703 25.135503941453806, 121.80301354403991 25.135339684778671, 121.80328047181638 25.135219668452976, 121.80358944559646 25.135114464860692), (121.74222365809544 25.130419063089334, 121.73861426323776 25.132344332624882, 121.74146792090789 25.136539388482049, 121.74157400943307 25.136751641075421, 121.74154149174649 25.136944031242081, 121.74147458848154 25.137260815634193, 121.74075317931579 25.138694379941739, 121.74021849278927 25.13960662344698, 121.73958099666572 25.140791084540979, 121.73853063977731 25.142979238501084, 121.7385256593318 25.143260846810676, 121.73863174066241 25.143494840514506, 121.73895149821317 25.144253478914948, 121.73902082245309 25.144500041543722, 121.73898950536147 25.14471489497646, 121.73835801311191 25.147200307248454, 121.73819568008662 25.147566052531374, 121.73809177691408 25.147813379583852, 121.73800528911283 25.148085400221078, 121.73796744024526 25.148251825161651, 121.73784990784702 25.148436395723138, 121.73750160671386 25.148881969327476, 121.73737562878227 25.149263972554365, 121.7372148335977 25.149723182578839, 121.7370071954258 25.150030950368091, 121.73654431436864 25.150465834630609, 121.73642938370915 25.150621908374433, 121.73640352010648 25.150872015231357, 121.73645642812176 25.151098979834103, 121.73666112461126 25.151473658982241, 121.73670258065965 25.151729153677536, 121.73663945904389 25.151899207382542, 121.736361859912 25.152304460782318, 121.73585474300205 25.152761274113573, 121.73510881831737 25.153235945282688, 121.73390284544007 25.153932465710795, 121.73362627333393 25.154130270695475, 121.73345957050287 25.154271494833665, 121.73345980432657 25.154370419359395, 121.73425268171593 25.156875871224543, 121.73430969423703 25.157170550280739, 121.73433071049396 25.157388854412147, 121.73426773007179 25.157474316086848, 121.73416235740694 25.157457351275809, 121.73388957774193 25.15736171916808, 121.73309015598602 25.157318879063041, 121.73280210763119 25.157388698829436, 121.73246297958292 25.157513857478591, 121.73220149540271 25.1576603165704, 121.73197007645797 25.157878441736727, 121.73188413904188 25.158068195990495, 121.73221626676741 25.158597708717309, 121.73235166150005 25.158933104579148, 121.73229296095144 25.1594765028384, 121.73208860440559 25.159966616266388, 121.73202172452307 25.160058948761503, 121.73198917086359 25.160208735344895, 121.73206384876767 25.160359227896095), (121.7422551865277 25.130416241916066, 121.74283295507689 25.13006613134695, 121.74264420266786 25.129694457733081, 121.74094706415576 25.12731724559444, 121.74155914363962 25.126988508313048, 121.74165755465253 25.126925905606129, 121.74167975711521 25.12685345442344, 121.74102767668603 25.125972801403691, 121.74208438368737 25.124969353153176, 121.74214698819299 25.124810539175087, 121.7421135235204 25.124701028729532, 121.7419796027765 25.124531932802483, 121.74194650682591 25.124357086610303, 121.7424178127319 25.12089984445231, 121.74263759624819 25.119056495960592, 121.74291649130305 25.117642733825164, 121.74295301187203 25.117122940971, 121.74294599716006 25.116758173251128, 121.74284863026014 25.116152050876508, 121.74261090257119 25.115451586921267, 121.74215800129082 25.114779092780964, 121.74206322174041 25.114576009675147, 121.74169800256084 25.114134231209846, 121.74165982184331 25.114009983573908, 121.74157420368658 25.11394947448872, 121.73983113499889 25.112778037376586, 121.73920026058363 25.11226088673061, 121.7375158609683 25.110977654894896, 121.73735726102882 25.110892436037147, 121.73702298662158 25.110750077853879, 121.73666581817304 25.110725012849116, 121.73554293096151 25.110798910141625, 121.73471756646256 25.11076272861709, 121.73439665508158 25.110680676272239, 121.73393934532464 25.110465045825265, 121.73272204998273 25.109751155891161, 121.73238109091471 25.109598763072484, 121.731228289554 25.109109549865877, 121.73120403124108 25.109093663341923), (121.73357539508845 25.110222266644314, 121.73384992663284 25.109889869122185, 121.73399227312495 25.109671296992815, 121.73408217205463 25.109506619434967, 121.73416647540262 25.109258353490247, 121.73431779622933 25.109058569097726, 121.73497064288097 25.10840107385053, 121.73536844629677 25.108107838206195, 121.73566036083707 25.107868490838257, 121.73605934866009 25.107328166461741, 121.73640737639937 25.106818770669804, 121.73667059447246 25.106313470390376, 121.73695910867593 25.105774325025152, 121.73712261261858 25.105638348431114, 121.7383210941432 25.104625428520762, 121.73953139186028 25.104133117149672, 121.74034919845678 25.103805563376113, 121.7405661652964 25.103658094345633, 121.74064528675069 25.103510221519571, 121.74058647198819 25.1033504713472, 121.74169647101542 25.103227816410651, 121.74301182843317 25.103064148791475, 121.74356156781221 25.102999075646892, 121.74394553515833 25.102968522978983, 121.74462346659982 25.103061870808745, 121.74518317496359 25.103102438326914, 121.74556341641858 25.103147462885147, 121.74596003093075 25.103274998442487, 121.74615083829065 25.103310971324333, 121.74629089420944 25.1032949013387, 121.74647815014657 25.10320806909715, 121.74706537057045 25.102167858360019, 121.74728350742794 25.101780723601564, 121.74732405246311 25.101691695215607))",2019-11-21T00:00:00
台2丙線自行車道,2250,"LINESTRING (121.93314945148609 25.01859516643384, 121.92914251581453 25.017121320592537, 121.92719665180414 25.017102855712267, 121.92696739842677 25.016384379235774, 121.9264230486848 25.013702954327925, 121.92463192652224 25.011260697822991, 121.92390802263719 25.009981208965655, 121.9218108189142 25.0099462424252, 121.91813141902981 25.010654137478525, 121.91542891940912 25.012497700908227, 121.91495802449333 25.014652359618765, 121.91311734159206 25.016270736405431, 121.91093334070115 25.017189080012088, 121.90926431319758 25.01662963514957, 121.90795265469137 25.0169585558927, 121.90730344130088 25.019949698319977, 121.90543114633044 25.0209380649398, 121.90270052850667 25.020682018060711, 121.90048991937431 25.021602197183711, 121.89739905562203 25.020798198777925, 121.89289103029682 25.020745709846665, 121.88868150794531 25.023362862905856, 121.87597092271994 25.023619564491355, 121.87123493724266 25.027166096738029, 121.87021730578408 25.030953705748971, 121.86733285262915 25.031776296738769, 121.86567604781146 25.032566706388423, 121.8650407622215 25.032816093787744, 121.86495915773901 25.033086604463278, 121.86481317798587 25.033337674494135, 121.86396439424141 25.033785580939877, 121.86380761452983 25.033946725061355, 121.86368717732148 25.034210681477816, 121.8634194851212 25.034869812591808, 121.86393552600373 25.035021592972214, 121.86385180451725 25.035519550287063, 121.86321230470412 25.03678764653273, 121.86360698927115 25.03788515847333, 121.86319473015271 25.038563744621172, 121.86142606855833 25.038521151829741, 121.85769404574364 25.03762313649861, 121.85469157545594 25.036764011450032, 121.85246639460854 25.03606871499926, 121.84708693611333 25.035062349347982, 121.84232974821941 25.034775316327853, 121.8382592106941 25.032621869004117, 121.83530447462192 25.030585023280253, 121.83183474627663 25.029092555177328, 121.82382241277423 25.026010332111184, 121.81994498757115 25.024274753876853, 121.81581008376838 25.023005803275225, 121.81450437157957 25.021593572685276, 121.81285534230028 25.020959090189933, 121.81051966445102 25.021024574324713, 121.80835565099255 25.020390085534075, 121.80571956000972 25.018744493463657, 121.80440152531025 25.018893907727715, 121.80299765211998 25.018576659285429, 121.8006437225298 25.016529862563175, 121.79611154231384 25.018625662444435, 121.78086738252375 25.025150382384311, 121.77904652427776 25.032055214276795, 121.78029715029334 25.043530872052145, 121.77773437474161 25.047818308967862, 121.77295216411119 25.052349491835628, 121.76167112772043 25.069652598188895, 121.75327112256434 25.078833431617625, 121.74539749599774 25.085688850260283, 121.73891996618352 25.093802148850159, 121.73879658369549 25.097163905489879)",2019-11-21T00:00:00
環島1路線編號055,9100,"LINESTRING (121.74136934891635 25.089939343925607, 121.74132795671994 25.09010164457527, 121.74082077236085 25.09093557331812, 121.740310969176 25.091382989633303, 121.73996953976246 25.091648051316554, 121.73953030727796 25.092318432949355, 121.73909761106597 25.092948796549763, 121.73900692612881 25.093261844258734, 121.73913745103255 25.094071880712761, 121.73891513682418 25.097477365088366, 121.73883338305427 25.097780879983702, 121.7386203579432 25.098230151600262, 121.73845694753015 25.098399577578505, 121.73753122768403 25.098879667162976, 121.73640926947223 25.099875345271016, 121.73610487953658 25.100536417121987, 121.73596459429064 25.100891696994267, 121.73599891241997 25.102452772577465, 121.73599826131078 25.102617298149823, 121.73574528471715 25.103251129536034, 121.73408606252178 25.106722579183725, 121.73373432328049 25.10726965117351, 121.73233947478695 25.108439902079851, 121.73165485868481 25.10886648559989, 121.73128579130628 25.109066961571045, 121.73115164303397 25.109082429010925, 121.73095078125357 25.109028918449894, 121.73005523276288 25.108664265843231, 121.72891768030672 25.10806662587413, 121.7273317609521 25.107024662358356, 121.7268032986334 25.106539237995491, 121.72653213415072 25.106183400543557, 121.72640385035743 25.105855290988927, 121.7263414446021 25.104045687758344, 121.72618124027213 25.103481260651733, 121.72556307327727 25.10268035231644, 121.72358092162233 25.101460314941619, 121.722346789173 25.100502938060174, 121.72176544671811 25.100327405685277, 121.72029877836599 25.100186010675884, 121.71890069501114 25.099911035765729, 121.71842083925037 25.099712844072542, 121.71663644401679 25.09879178361399, 121.71575445190649 25.098378749279902, 121.71382388896131 25.097664058049872, 121.71154709242444 25.096811928827492, 121.71130149656688 25.096674430580549, 121.71095926855548 25.096382513342348, 121.71070632883402 25.096046139917462, 121.7106557131907 25.095808589394949, 121.71048803279655 25.092737252622157, 121.71034421501361 25.092560805636708, 121.71020875193244 25.092430099969192, 121.70843295241889 25.091220321160961, 121.70811142500236 25.090921310969804, 121.70766106970268 25.090451466462071, 121.70745696856432 25.090318864124356, 121.7069241166547 25.09022169147795, 121.70640244691549 25.090207176420108, 121.70619313600446 25.0901650746585, 121.70593526889763 25.089976111808141, 121.70540022354157 25.089350707968833, 121.70530099324628 25.088991772352472, 121.70521140278413 25.087162996475172, 121.70527392904864 25.08564995907841, 121.70525782398943 25.085200873621488, 121.7051422943814 25.084579702891006, 121.70491512113597 25.084144791648839, 121.70465410190536 25.083764532207454, 121.70238384433901 25.081033358602667, 121.70217091905272 25.080825525277817, 121.70199267881912 25.080702623027662, 121.70171230258075 25.080671358996085, 121.70038860844761 25.0809557597006, 121.70001663985613 25.080924914753041, 121.69518268942966 25.079499325633435, 121.69463588273982 25.079283854366452, 121.69413567082461 25.0790370165451, 121.69379791514177 25.078766477990598, 121.69357050447525 25.078581395714878, 121.69141441314468 25.07564709853483, 121.69031226160166 25.073998982067394, 121.68911738545899 25.071958465310956, 121.68910114819948 25.071951065689177)",2019-11-21T00:00:00
外木山自行車與行人共用道,1300,"MULTILINESTRING ((121.70824799694753 25.1641940045497, 121.71023499504906 25.1638430027524, 121.71125600526045 25.163822004481972, 121.71209399534166 25.164009003212982, 121.71240400064414 25.164163998669665, 121.71284999513125 25.164610999498052, 121.7131979967902 25.164727000350808, 121.71464999809905 25.165165001663524, 121.71585600425124 25.164951005284706, 121.71624499700908 25.164955000972554, 121.71710099691359 25.164605997468868, 121.71786299787914 25.164500002473176, 121.71853900117401 25.164076997355608, 121.71954200066284 25.164126003212516, 121.72039600317305 25.163757004182457, 121.72145799638952 25.163848997633181, 121.72229200157471 25.163911004988961, 121.72369800076217 25.164242001367313, 121.72429899610188 25.16436399710085, 121.72470699693042 25.164315002035778, 121.72479199545432 25.164281003165797), (121.72478899621524 25.164282001413312, 121.72562199595836 25.1635900000785))",2019-11-21T00:00:00
環島1號線(台5線路段),2000,"LINESTRING (121.68888616616368 25.071661131456096, 121.69287729535097 25.077705545074878, 121.6950659763138 25.079444964313723, 121.69843483220177 25.080431267888741, 121.7000763458467 25.080963281630204, 121.7020665473334 25.080617105595024, 121.70495796933483 25.084313245459953)",2019-11-21T00:00:00
