VDID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
VD-41-0070-122-01,THB,19.05.1,3000700112257G,道路異動,數化精進,"EndMile,MileLength,Bearing",['3000700112257G'],"[{'LinkID': '3000700112257G', 'RoadID': '300070', 'RoadName': '台7線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-13-001A-021-01,THB,19.05.1,3000110002065H,道路新增,錯誤修正,,['3000110102011H'],"[{'LinkID': '3000110102011H', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-021-02,THB,19.05.1,3002600002377T,道路新增,錯誤修正,,['3002600102377T'],"[{'LinkID': '3002600102377T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-24-014B-016-01,THB,19.05.1,3001420101580M,道路新增,單變雙/道路合併,,['3001420101580M'],"[{'LinkID': '3001420101580M', 'RoadID': '300142', 'RoadName': '台14乙線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-43-0090-189-01,THB,19.05.1,3000900018932U,道路新增,道路分段/道路結構改變,,"['3000900018914U', '3000900018946U', '3000900018969U']","[{'LinkID': '3000900018914U', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900018946U', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900018969U', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-33-0260-037-01,THB,19.05.1,3002600103754T,道路新增,錯誤修正,,['3002600003754T'],"[{'LinkID': '3002600003754T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-038-01,THB,19.05.1,3002600103984T,道路新增,錯誤修正,,['3002600003984T'],"[{'LinkID': '3002600003984T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-028-01,THB,19.05.1,3002600103033T,道路新增,錯誤修正,,['3002600003033T'],"[{'LinkID': '3002600003033T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-42-0090-124-01,THB,19.05.1,3000900113108G,道路新增,道路分段,,"['3000900113108G', '3000900113131G']","[{'LinkID': '3000900113108G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900113131G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-003-01,THB,19.05.1,3002600000412T,道路新增,錯誤修正,,['3002600100412T'],"[{'LinkID': '3002600100412T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
