TownName,TownCode,CityName,Version
卑南鄉,10014040,臺東縣,23.05.1
臺東市,10014010,臺東縣,23.05.1
大武鄉,10014100,臺東縣,23.05.1
太麻里鄉,10014090,臺東縣,23.05.1
延平鄉,10014130,臺東縣,23.05.1
成功鎮,10014020,臺東縣,23.05.1
東河鄉,10014070,臺東縣,23.05.1
池上鄉,10014060,臺東縣,23.05.1
海端鄉,10014120,臺東縣,23.05.1
綠島鄉,10014110,臺東縣,23.05.1
蘭嶼鄉,10014160,臺東縣,23.05.1
達仁鄉,10014150,臺東縣,23.05.1
金峰鄉,10014140,臺東縣,23.05.1
長濱鄉,10014080,臺東縣,23.05.1
關山鎮,10014030,臺東縣,23.05.1
鹿野鄉,10014050,臺東縣,23.05.1
