RouteUID,RouteID,RouteName
THB2002,2002,2002
THB2088,2088,2088
THB1961,1961,1961
THB2004,2004,2004
THB5300,5300,5300
THB5001,5001,5001
THB5603,5603,5603
THB2004,2004,2004
THB5005,5005,5005
THB5300,5300,5300
THB2025,2025,2025
THB5600,5600,5600
THB5001,5001,5001
THB2011,2011,2011
THB5603,5603,5603
THB5005,5005,5005
THB5600,5600,5600
THB2025,2025,2025
THB5203,5203,5203
THB2011,2011,2011
THB5601,5601,5601
THB5606,5606,5606
THB5613,5613,5613
THB5602,5602,5602
THB5609,5609,5609
THB5601,5601,5601
THB5203,5203,5203
THB5350,5350,5350
THB5606,5606,5606
THB5250,5250,5250
THB5613,5613,5613
THB5602,5602,5602
THB5609,5609,5609
THB5350,5350,5350
THB5611,5611,5611
THB5604,5604,5604
THB5250,5250,5250
THB5619,5619,5619
THB5626,5626,5626
THB5612,5612,5612
THB5604,5604,5604
THB5621,5621,5621
THB5611,5611,5611
THB5619,5619,5619
THB5612,5612,5612
THB5608,5608,5608
THB5626,5626,5626
THB5605,5605,5605
THB5621,5621,5621
THB5614,5614,5614
THB5608,5608,5608
THB5622,5622,5622
THB5625,5625,5625
THB5605,5605,5605
THB5629,5629,5629
THB5634,5634,5634
THB5614,5614,5614
THB5625,5625,5625
THB5622,5622,5622
THB5631,5631,5631
THB5629,5629,5629
THB5615,5615,5615
THB5620,5620,5620
THB5634,5634,5634
THB5631,5631,5631
THB5632,5632,5632
THB5615,5615,5615
THB5627,5627,5627
THB5620,5620,5620
THB5637,5637,5637
THB5632,5632,5632
THB5633,5633,5633
THB5627,5627,5627
THB5642,5642,5642
THB5637,5637,5637
THB5628,5628,5628
THB5639,5639,5639
THB5633,5633,5633
THB5642,5642,5642
THB5630,5630,5630
THB5640,5640,5640
THB5639,5639,5639
THB5628,5628,5628
THB5635,5635,5635
THB5656,5656,5656
THB5630,5630,5630
THB5640,5640,5640
THB5641,5641,5641
THB5661,5661,5661
THB5635,5635,5635
THB5658,5658,5658
THB5636,5636,5636
THB5656,5656,5656
THB5641,5641,5641
THB5659,5659,5659
THB5661,5661,5661
THB5658,5658,5658
THB5636,5636,5636
THB5643,5643,5643
THB5638,5638,5638
THB5659,5659,5659
THB5667,5667,5667
THB5660,5660,5660
THB5643,5643,5643
THB5638,5638,5638
THB5676,5676,5676
THB5655,5655,5655
THB5669,5669,5669
THB5660,5660,5660
THB5667,5667,5667
THB5670,5670,5670
THB5655,5655,5655
THB5676,5676,5676
THB5669,5669,5669
THB5657,5657,5657
THB5670,5670,5670
THB5663,5663,5663
THB5673,5673,5673
THB5657,5657,5657
THB5802,5802,5802
THB5664,5664,5664
THB5804,5804,5804
THB5807,5807,5807
THB5663,5663,5663
THB5805,5805,5805
THB5806,5806,5806
THB5802,5802,5802
THB5804,5804,5804
THB5807,5807,5807
THB5806,5806,5806
THB5668,5668,5668
THB5805,5805,5805
THB5700,5700,5700
THB5664,5664,5664
THB5811,5811,5811
THB5668,5668,5668
THB5813,5813,5813
THB5700,5700,5700
THB5815,5815,5815
THB5816,5816,5816
THB5801,5801,5801
THB5813,5813,5813
THB5814,5814,5814
THB5811,5811,5811
THB5815,5815,5815
THB5816,5816,5816
THB5803,5803,5803
THB5801,5801,5801
THB5814,5814,5814
THB5808,5808,5808
THB5822,5822,5822
THB5820,5820,5820
THB5803,5803,5803
THB5808,5808,5808
THB5824,5824,5824
THB5822,5822,5822
THB5820,5820,5820
THB5810,5810,5810
THB5823,5823,5823
THB5900,5900,5900
THB5824,5824,5824
THB5823,5823,5823
THB5812,5812,5812
THB5818,5818,5818
THB5810,5810,5810
THB5900,5900,5900
THB6277,6277,6277
THB6289,6289,6289
THB5812,5812,5812
THB5818,5818,5818
THB6277,6277,6277
THB6333,6333,6333
THB6322,6322,6322
THB5819,5819,5819
THB6289,6289,6289
THB6606,6606,6606
THB5821,5821,5821
THB6188,6188,6188
THB5819,5819,5819
THB6606,6606,6606
THB6322,6322,6322
