RoadClass,RoadClassName,RoadID,RoadName,RoadNameID,Geometry,InfoDate
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.5035050998805 24.191443732542268, 120.50350630677076 24.191444481677536, 120.50431703570268 24.191933250619059, 120.50528158377813 24.192524139377554, 120.50544728206648 24.192625645856936, 120.5060571950836 24.192994908388357, 120.50628166406761 24.193130808540047, 120.5074225467132 24.193840384426267, 120.5080484667634 24.194217053774082, 120.5086301482628 24.194567098692687, 120.50872964116013 24.194629262530498, 120.50884562312706 24.194700275697244, 120.50951944556607 24.195112826196009, 120.50954348624293 24.19512754899722, 120.50956478758496 24.195140582871659, 120.5096106143385 24.195168643518116, 120.50961237970762 24.195169725402536, 120.50968667989639 24.195215217608279, 120.50971154165438 24.195230439533191, 120.50978474826763 24.195273827325309, 120.51003651167571 24.195423057228368)",2013-10-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.50997437301896 24.195493727753387, 120.50967929376441 24.195318819507975, 120.50965781075945 24.19530609320168, 120.50965720191834 24.195305721781665, 120.50958249703467 24.195259990356305, 120.50951275281136 24.195217283350985, 120.50951084624865 24.195216114232323, 120.50946482074494 24.195187937573337, 120.50944041854052 24.195172999834142, 120.50941858569922 24.195159633210551, 120.50860670653435 24.194661439373988, 120.5080484667634 24.19431138096553, 120.50803860030123 24.194305192730496, 120.50743546367573 24.193955622653903, 120.50627588412476 24.193243537659214, 120.50596654611923 24.193053518105444, 120.50520553170998 24.192586038814682, 120.50459118683386 24.192208650908583, 120.5033987964174 24.191481012139036, 120.50339758233258 24.191480265701728)",2013-10-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.52175731744626 24.216389488983793, 120.52150753884189 24.215794256499805, 120.52147608055668 24.215719289913352, 120.52046574619726 24.213365970063535, 120.52016665866438 24.212625504263656, 120.52008999146005 24.212398578331772, 120.51999360931768 24.212113291795049)",2017-08-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.5277600052201 24.230219900128361, 120.52771879918328 24.230119464741563, 120.52770793177569 24.230092977009349, 120.52769877038202 24.230070646842933, 120.52768807924156 24.230044592583909, 120.5274462974088 24.229455278538296, 120.52736559404696 24.229262949525548, 120.52699699791322 24.228384461174016, 120.52652864807874 24.227282362690914, 120.52652780271603 24.227280369793277, 120.5264014659549 24.22698307370996, 120.52635201763155 24.226867425391447, 120.52635191061222 24.226867185272454, 120.5263518962231 24.22686715289683, 120.52591742115214 24.225851153707822, 120.52574770469289 24.225455816232966, 120.52573622754494 24.225429082985841, 120.52572279527089 24.225397793773197, 120.52570976769164 24.225367447949395, 120.52570844928562 24.22536439025447, 120.52567349893286 24.225282980025554, 120.52563375159639 24.225190396619553, 120.52557788211368 24.225060260222904, 120.52556297045476 24.225025527506148, 120.52554830521012 24.22499135866434, 120.52554812354708 24.224990937781627, 120.52554801742713 24.224990695863994, 120.52554801023257 24.224990669783608, 120.52548250001746 24.22483800806765, 120.52548247933305 24.224837970296164, 120.52543804383072 24.224734629199816, 120.52538044944822 24.22460069586549, 120.52535080959228 24.224531809595362, 120.52506447174801 24.223866460568729, 120.52488438430692 24.223447924182381, 120.52486399307884 24.223400529910577, 120.52483657544769 24.223336673548715, 120.52483639558329 24.223336255363961, 120.52483456816083 24.223332006067267, 120.52482051805248 24.223301372460412, 120.52480996001168 24.223278361507255, 120.52478174018518 24.223216857771831, 120.52475575877133 24.223160229261225, 120.52474246948941 24.223128893283842, 120.52474182107824 24.22312736353706, 120.52472681319193 24.22309198420777, 120.52449086166405 24.222535650999532, 120.52448857019147 24.22253024427539, 120.52446366166873 24.222471520344413, 120.52441963176068 24.22236770620475, 120.52441758220573 24.222362872348754, 120.52414172595991 24.22171243228297, 120.52414066026336 24.221709918677846, 120.52414024387724 24.221708949208676, 120.52413195032932 24.221689380860312, 120.52412006848647 24.221661369676497, 120.52411974383119 24.221660608850073, 120.52410753013851 24.221631801766307, 120.52410166655875 24.221617917133244, 120.52376372471622 24.220855593311057)",2017-08-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.51003651167571 24.195423057228368, 120.51069880480611 24.195815610402121, 120.51069958092103 24.19581608254623, 120.51070084177047 24.195816882942836, 120.5112815178278 24.196200167703637, 120.51179743550335 24.196546868942903, 120.51181778356397 24.196560543134581, 120.5118341997885 24.196571576916767, 120.5118352133245 24.196572272092737, 120.51183661716618 24.196573308111738, 120.51183931962896 24.196575371156484, 120.51224345067476 24.196884183957991, 120.51224484732188 24.196885297318659, 120.51243066973973 24.197038492332581, 120.51247301791545 24.197073413906992, 120.51249934197108 24.197095112749309, 120.51252208492633 24.197113864513312, 120.51252261282843 24.197114299785142, 120.51252517229898 24.197116405098086, 120.51254396992829 24.197131906712173, 120.51259192177986 24.197171436412702, 120.51273809398788 24.19729194556686, 120.51273848968958 24.197292279215389, 120.51275106221181 24.197302641203976, 120.51276343508448 24.197312842213933, 120.51278214817762 24.19732827368091, 120.51278417345088 24.197330037251447, 120.51278534436824 24.19733115690741, 120.51331228053743 24.1978526476816, 120.51331330036862 24.197853693593117, 120.51331466104284 24.197855187367054, 120.51366195043875 24.198254621253795, 120.51371513274728 24.198315790441427, 120.51371531890686 24.198316010775329, 120.5137312315112 24.198334315576233, 120.5137329015522 24.198336229333563, 120.51373320372443 24.198336579169847, 120.51375712209358 24.198364094827184, 120.51375714817391 24.198364123605472, 120.513765688136 24.198373937007659, 120.51376571781373 24.198373969383226, 120.51381629568561 24.198432147425706, 120.51383462296951 24.198453368728053, 120.51385787584036 24.198480288134817, 120.51386314496824 24.19848638733697, 120.51389749277519 24.198526140069362, 120.51393683181936 24.198571668247951, 120.51401155289091 24.198658151552479, 120.51401158886381 24.198658182129464, 120.51403446222071 24.19868465996916, 120.51403693445707 24.198687786911876, 120.51417944552509 24.19888534997898, 120.5141816371729 24.198888388788134, 120.51419186426324 24.198902566600225, 120.51419223658252 24.198903082811057, 120.5142044925434 24.198920066507924, 120.51420451772435 24.19892010248077, 120.5142322833932 24.198958606054873, 120.51430427861965 24.199058591780613, 120.51439321707335 24.199202351107658, 120.51449548977507 24.199367658190909, 120.51458299381022 24.199509092770484, 120.51479908201213 24.199889879214595, 120.51489736891847 24.200063075150865, 120.5150715181361 24.200393224367872, 120.51512185768763 24.200488653228831, 120.51513308572339 24.200509938382993, 120.51513472698616 24.200513716434898, 120.51519421084424 24.200650646310351, 120.51524771780794 24.200773813860451, 120.51526884018494 24.200822438404884, 120.51553249532844 24.2014293359951, 120.51616006293659 24.202895266903113, 120.51684078857159 24.204485336629034, 120.51705240084766 24.204980573494709, 120.51705241793479 24.20498061396421, 120.51705710610065 24.204991611773494, 120.5170576295061 24.20499283395219, 120.51706164587836 24.205002210283851, 120.51706166116674 24.205002246256697, 120.5178045398477 24.20674084171651, 120.51835842060473 24.20803326372419, 120.51838422125491 24.208093456248037, 120.5183842392413 24.208093497616858, 120.518425830188 24.208190540760882, 120.51842684282462 24.208192904179214, 120.51846442099634 24.20828058178347, 120.5184793488429 24.2083154188216, 120.51850268984731 24.208369893455881, 120.51850309004567 24.208370824254189, 120.51854611810893 24.208471216473527, 120.51909037971734 24.209741067296477, 120.51917681086115 24.20993870141001, 120.52000267178596 24.21182906106236)",2017-08-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.53802133721501 24.253781003690392, 120.53810367734286 24.253991169856647, 120.53817146104416 24.254164182331181, 120.53873906455624 24.255499809568619, 120.53920005164116 24.256553119830642, 120.53941334924673 24.257048199315022, 120.53961607891893 24.257536445750418, 120.53964266287869 24.257623563976324, 120.53967910520657 24.257742985850143, 120.53969218854377 24.257785861028708, 120.53974069078026 24.25794480181122)",2017-07-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.51999360931768 24.212113291795049, 120.51995845661759 24.212027750979985, 120.51957253054786 24.211088632134704, 120.51899883862552 24.209774285554886, 120.51845449877612 24.208504254867535, 120.51839781270894 24.208371981681637, 120.51839732617577 24.208370849435198, 120.51837427385374 24.208317054688393, 120.51835825512944 24.208279677964811, 120.51832167880252 24.208194341295837, 120.51832066526651 24.208191976078865, 120.51827829370836 24.208093099217194, 120.51827827841987 24.208093061445652, 120.51825520811144 24.2080392397192, 120.51771289443457 24.206773809963408, 120.51696769460352 24.205029788893683, 120.51696767931503 24.205029754719476, 120.51696333019356 24.205019577091832, 120.5169628346672 24.205018420563704, 120.51695783623518 24.20500672757845, 120.51695782274544 24.205006693404243, 120.51695329555821 24.204996091296607, 120.51674914855437 24.204518309372531, 120.51606310342959 24.202915825405057, 120.5154411260072 24.201462949955214, 120.51519099306995 24.200893626939376, 120.51518105196408 24.200871830070923, 120.51515658770643 24.200818181913633, 120.51510305286365 24.200700789809673, 120.51504054818281 24.20056372503592, 120.51502961152744 24.200539744613593, 120.51501693558316 24.200511938475245, 120.51480756082037 24.200100088548311, 120.51474246519263 24.199985442074535, 120.51458689327058 24.199711445626747, 120.51449448343374 24.199548900361492, 120.51441421084724 24.199419182149597, 120.51438729953429 24.199375674747614, 120.51434211849403 24.199302661488673, 120.51434205554153 24.199302571556473, 120.51421950132897 24.199104510264988, 120.5141148580143 24.198959439726423, 120.51411483193397 24.198959405552159, 120.5141025696779 24.198942408365497, 120.51410220365381 24.198941899349222, 120.51409162582797 24.198927235003964, 120.51408967339978 24.198924527145266, 120.51395600266744 24.198739219139725, 120.51390823967358 24.198683936014902, 120.51390820999598 24.198683900042, 120.51383719772855 24.198601717295446, 120.51379831374129 24.198556717918223, 120.51376219516919 24.198514920127536, 120.51376057459095 24.198513042343052, 120.51373920849778 24.198488295698326, 120.51373528655427 24.198483781101686, 120.51367261999553 24.19841170673493, 120.5136131163523 24.19834327102518, 120.51361309296988 24.198343244045532, 120.51360729414137 24.198336572874609, 120.51360699286852 24.198336224836964, 120.51360532192814 24.198334307482355, 120.51323884459703 24.1979128042326, 120.51271467564186 24.197394042900783, 120.51266593688354 24.19735386029248, 120.51265511713996 24.197344945313034, 120.5126403268896 24.197332749606744, 120.51263930795778 24.197331910539276, 120.51259391197948 24.197294481655035, 120.51251202241201 24.197226970448355, 120.51248186724445 24.197202108690419, 120.5124321428292 24.197161113994241, 120.51217974449969 24.196953022564003, 120.51177478787622 24.196643585633012, 120.5117208978013 24.196607369034894, 120.51170022328677 24.196593473609994, 120.51167696142272 24.196577839795509, 120.5112235070593 24.196273114412747, 120.51064433736633 24.19589083149674, 120.50997437301896 24.195493727753387)",2017-08-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.5277600052201 24.230219900128361, 120.52770765658317 24.230122855185641, 120.52769378094331 24.230097137273106, 120.52768209335397 24.230075470806355, 120.52766839038395 24.230050069455217, 120.52760299977865 24.229928850735917, 120.52746205982623 24.229667576097825, 120.52703890452187 24.228723626094506, 120.52657831673594 24.227645166291438, 120.52643727066356 24.227311289384545, 120.52590429464749 24.226049642177315, 120.52583908480597 24.225905537510585, 120.52582877587736 24.225883323356754, 120.5256558659255 24.225510791789645, 120.52564303889517 24.225483153824541, 120.52562871719158 24.225452298984465, 120.52561489371249 24.225422517035611)",2017-08-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.52788817210148 24.230172613775153, 120.52829769548237 24.231238202481109, 120.52857734776649 24.231914497156367, 120.52891364025231 24.232676871340573, 120.52906519670148 24.233027752628743, 120.52906521198997 24.23302778590363, 120.52922435781795 24.233396226454715, 120.52924268150457 24.233438645676983, 120.52927709676067 24.233518322912346, 120.52961018496217 24.234307124574173, 120.52961314732897 24.234314138386821, 120.52988601332891 24.234940706848192, 120.53022903094507 24.235755680580269, 120.53059813609514 24.236627164112406, 120.53079864354265 24.237087497390121, 120.53080507279594 24.237102259761514, 120.5308050862858 24.237102293036457, 120.53081305248043 24.237120582548869, 120.53082294951957 24.23714330481971, 120.53083471984655 24.237170331245864, 120.5308675109269 24.237245620688896, 120.53120320446442 24.238029623568309, 120.53152956393831 24.238787652228439, 120.53152958282408 24.238787684604006, 120.53155700585125 24.238851385383157, 120.53159343558866 24.238938392992509, 120.53192067280088 24.239720003675302, 120.53216193122819 24.240260778612083, 120.53216585227233 24.240270448122715, 120.53274887556017 24.24158727683141, 120.53281077769532 24.241727089933306)",2017-08-01T00:00:00
1,省道快速公路,100610,臺61線,610,"LINESTRING (120.53281077769532 24.241727089933306, 120.53304858002798 24.242306625650315, 120.53305152710641 24.242313813032069, 120.53324041891028 24.24277415170576, 120.53332079132156 24.242970019550796, 120.5333805521708 24.243115660259548, 120.53343199339179 24.24324102395417, 120.533456626722 24.243301055499387, 120.53405982450136 24.2447710477457, 120.53448901425668 24.245747113438597, 120.53473668754816 24.246326449506114, 120.53477139058725 24.246407619615979, 120.5355940535228 24.248331876514953, 120.53559583148251 24.248335865907563, 120.5355960266354 24.248336303877352, 120.53576753004756 24.24872108061345, 120.53622680482329 24.249798627604605, 120.53626603145221 24.249890659726191, 120.53632078937301 24.250019130578437, 120.53635060279817 24.250089077149255, 120.53721395016373 24.252114587818028, 120.53725501950362 24.252210938484097, 120.5375969507387 24.253013128353246, 120.53802224193294 24.25401086860677, 120.53890519272056 24.256043322941025, 120.53960543544258 24.257636984559213, 120.53965566797478 24.257751305478394, 120.53974069078026 24.25794480181122)",2017-08-01T00:00:00
