日期,未滿1年,1年-未滿2年,2年-未滿3年,3年-未滿4年,4年-未滿5年,5年-未滿6年,6年-未滿7年,7年-未滿8年,8年-未滿9年,9年-未滿10年,10年-未滿11年,11年-未滿12年,12年-未滿13年,13年-未滿14年,14年-未滿15年,15年-未滿16年,16年-未滿17年,17年-未滿18年
104年 6月底,"576,275","701,567","652,338","633,179","604,359","546,121","632,984","788,431","704,062","744,603","752,925","683,726","564,336","458,193","519,487","532,522","523,378","457,194"
104年 7月底,"582,655","698,924","661,235","633,742","614,352","558,665","592,319","796,183","715,229","739,536","748,044","694,477","562,921","468,486","500,658","536,342","518,263","449,364"
104年 8月底,"581,788","691,311","663,836","636,835","624,444","571,513","550,275","799,724","721,476","740,826","750,271","696,276","572,212","478,090","493,692","529,541","515,192","456,512"
104年 9月底,"587,804","689,741","665,662","632,176","637,677","574,496","522,853","801,183","728,508","736,852","752,568","705,726","577,471","488,976","480,708","529,753","506,757","462,198"
104年 10月底,"589,208","691,085","664,993","627,257","645,552","572,537","493,246","812,811","734,815","723,061","761,905","709,152","587,290","491,145","479,377","524,678","500,379","469,110"
104年 11月底,"588,449","693,001","665,880","624,637","651,674","559,795","477,202","826,034","734,091","713,159","766,433","709,014","609,228","490,804","468,804","523,625","498,853","469,934"
104年 12月底,"595,625","700,608","667,687","625,550","648,664","540,903","470,604","846,112","727,352","717,415","751,885","707,567","634,962","491,874","456,047","517,436","497,167","474,539"
105年底,"736,775","707,235","701,338","667,011","624,585","647,147","538,776","468,352","838,704","717,585","700,792","726,203","675,192","585,090","447,944","410,698","460,870","434,512"
105年 1月底,"587,518","705,907","672,124","636,985","639,173","558,243","487,714","808,000","726,133","710,762","743,339","730,617","626,885","498,079","455,211","498,353","503,720","483,763"
105年 2月底,"596,923","698,784","686,988","626,568","652,055","564,459","492,889","785,054","729,429","697,572","745,851","726,651","638,467","504,126","440,267","499,818","501,740","479,548"
105年 3月底,"605,128","697,400","697,221","629,185","645,960","575,154","508,637","746,639","742,281","683,050","752,423","729,691","636,008","514,421","431,913","492,964","493,857","476,581"
105年 4月底,"604,786","692,559","703,287","639,147","638,895","586,897","512,214","713,933","754,738","689,640","745,451","729,312","635,814","523,372","427,552","492,031","490,098","472,902"
105年 5月底,"620,027","692,072","701,901","645,558","639,111","590,049","531,147","673,079","764,571","695,913","735,315","734,758","636,893","529,618","424,497","485,562","486,703","468,164"
105年 6月底,"633,225","703,108","702,323","651,786","632,243","602,942","543,754","629,711","782,472","694,860","728,933","730,402","651,084","529,726","424,432","477,896","482,323","467,594"
105年 7月底,"633,675","709,421","699,933","660,652","632,813","612,974","556,110","589,264","790,062","705,852","723,850","724,992","661,176","527,372","432,976","459,781","485,342","462,703"
105年 8月底,"637,268","715,898","692,328","663,236","635,881","623,027","568,961","547,414","793,480","711,986","724,912","726,679","662,505","534,703","440,787","451,876","478,485","458,738"
105年 9月底,"670,942","710,401","690,654","665,124","631,239","636,269","572,282","520,099","794,610","718,967","720,880","728,461","671,885","537,474","449,245","438,340","477,151","448,973"
105年 10月底,"690,004","711,431","692,010","664,450","626,330","644,099","570,486","490,573","806,003","725,179","707,014","737,200","675,294","545,136","450,127","435,099","471,451","441,005"
105年 11月底,"704,841","713,437","693,873","665,327","623,665","650,148","557,610","474,645","818,953","724,383","696,791","740,936","676,081","563,422","448,454","424,202","468,576","437,562"
105年 12月底,"736,775","707,235","701,338","667,011","624,585","647,147","538,776","468,352","838,704","717,585","700,792","726,203","675,192","585,090","447,944","410,698","460,870","434,512"
106年底,"893,770","837,927","708,083","700,788","665,806","622,333","644,193","534,928","464,125","826,763","701,898","676,962","691,126","634,355","519,850","393,079","356,332","396,175"
106年 1月底,"735,867","704,230","706,714","671,437","635,950","637,655","555,939","485,174","800,775","716,464","694,487","717,890","696,984","577,967","453,172","409,443","443,304","440,296"
106年 2月底,"760,867","700,090","699,592","686,321","625,539","650,474","562,164","490,235","777,990","719,694","681,645","720,304","692,688","589,389","457,880","395,418","443,907","437,954"
106年 3月底,"776,164","701,519","698,248","696,577","628,144","644,284","572,771","505,856","739,975","732,667","667,966","727,100","696,128","588,230","468,152","388,275","438,445","431,644"
106年 4月底,"776,902","706,034","693,589","702,648","638,055","637,071","584,397","509,393","707,684","745,153","674,590","720,610","696,262","589,128","476,150","384,198","437,664","427,790"
106年 5月底,"770,908","723,175","692,954","701,307","644,448","637,338","587,658","528,196","667,498","755,140","681,132","711,658","702,313","591,250","482,893","381,459","432,705","426,177"
106年 6月底,"783,328","730,337","704,085","701,699","650,650","630,370","600,559","540,626","624,659","772,605","680,213","705,382","698,127","604,560","482,134","380,261","425,239","421,609"
106年 7月底,"792,690","734,921","710,423","699,388","659,451","630,853","610,543","552,771","584,339","779,932","691,023","700,772","692,714","614,620","478,785","386,757","408,223","423,849"
106年 8月底,"803,331","759,708","716,993","691,732","662,043","633,873","620,420","565,203","542,763","783,375","697,161","701,506","693,723","616,975","483,112","392,543","399,365","417,049"
106年 9月底,"820,697","776,907","711,662","690,078","663,917","629,055","633,652","568,453","515,556","784,349","704,132","697,653","695,399","627,715","484,443","399,825","386,766","416,272"
106年 10月底,"825,251","796,508","712,729","691,442","663,276","624,118","641,403","566,620","486,313","795,465","710,373","684,215","703,811","632,361","491,139","400,530","383,256","411,421"
106年 11月底,"837,986","819,111","714,606","693,292","664,182","621,442","647,364","553,844","470,492","808,214","709,615","674,442","706,733","635,145","505,317","397,737","372,400","407,484"
106年 12月底,"893,770","837,927","708,083","700,788","665,806","622,333","644,193","534,928","464,125","826,763","701,898","676,962","691,126","634,355","519,850","393,079","356,332","396,175"
107年底,"768,357","977,024","838,560","707,540","699,844","663,902","618,656","638,869","528,671","457,496","808,108","679,288","646,133","649,822","587,935","463,514","346,461","312,139"
107年 1月底,"897,912","847,639","705,318","706,169","670,299","633,529","634,538","551,948","480,727","788,723","700,582","670,626","682,486","653,819","514,081","397,363","354,371","380,104"
107年 2月底,"887,631","869,112","701,212","699,059","685,164","623,134","647,236","558,007","485,618","766,174","703,726","658,327","685,236","649,895","526,687","402,061","342,806","381,378"
107年 3月底,"885,021","886,867","702,532","697,737","695,416","625,948","640,666","568,402","500,908","728,253","716,070","644,687","690,987","651,797","526,337","410,983","336,108","376,437"
107年 4月底,"877,356","889,422","707,051","693,110","701,525","635,885","633,513","579,866","504,190","696,435","728,342","651,158","684,787","651,761","529,201","418,204","332,450","376,114"
107年 5月底,"872,755","887,719","724,158","692,497","700,195","642,241","633,657","583,132","522,458","656,645","737,716","657,129","676,058","656,895","531,973","423,734","329,252","371,572"
107年 6月底,"855,982","896,272","731,292","703,653","700,636","648,480","626,729","596,150","534,490","614,909","754,589","656,560","670,760","653,826","546,517","424,569","329,137","367,057"
107年 7月底,"846,069","905,297","735,926","709,993","698,311","657,514","627,304","605,629","546,452","575,160","761,771","667,183","666,475","648,532","557,661","421,591","334,985","352,751"
107年 8月底,"824,018","906,298","760,638","716,512","690,711","660,189","630,326","615,371","558,708","534,243","765,510","673,713","667,936","650,447","563,214","426,003","341,475","345,970"
107年 9月底,"804,170","926,974","777,731","711,141","689,079","662,137","625,596","628,441","562,088","507,441","766,609","680,939","664,699","652,560","575,285","428,066","348,424","335,742"
107年 10月底,"787,837","937,394","797,301","712,244","690,413","661,438","620,540","635,991","560,084","478,672","777,573","687,068","651,971","660,690","580,888","434,541","349,540","332,287"
107年 11月底,"754,449","956,841","819,838","714,146","692,285","662,308","617,852","642,088","547,293","463,277","790,241","686,492","643,290","663,924","586,500","448,530","348,478","324,463"
107年 12月底,"768,357","977,024","838,560","707,540","699,844","663,902","618,656","638,869","528,671","457,496","808,108","679,288","646,133","649,822","587,935","463,514","346,461","312,139"
108年底,"806,396","860,660","977,580","837,825","706,159","697,610","659,842","612,639","630,164","518,930","446,816","781,157","648,090","606,686","599,875","535,438","409,316","303,249"
108年 1月底,"750,588","997,126","848,192","704,737","705,154","668,353","629,896","629,206","545,395","473,749","770,650","677,868","640,037","641,240","605,990","459,328","350,601","310,251"
