日期,新北市 / 能源別總計,新北市 / 汽油,新北市 / 電能,新北市 / 汽油、電能,臺北市 / 能源別總計,臺北市 / 汽油,臺北市 / 電能,臺北市 / 汽油、電能,桃園市 / 能源別總計,桃園市 / 汽油,桃園市 / 電能,桃園市 / 汽油、電能,臺中市 / 能源別總計,臺中市 / 汽油,臺中市 / 電能,臺中市 / 汽油、電能,高雄市 / 能源別總計,高雄市 / 汽油,高雄市 / 電能,高雄市 / 汽油、電能,基隆市 / 能源別總計,基隆市 / 汽油,基隆市 / 電能,基隆市 / 汽油、電能
108年 2月,"2,187,288","2,158,506","28,782",-,"944,408","923,721","20,687",-,"1,194,011","1,152,002","42,009",-,"1,710,438","1,685,273","25,165",-,"2,010,733","1,982,814","27,919",-,"182,771","181,807",964,-
108年 3月,"2,188,972","2,158,000","30,972",-,"944,532","923,079","21,453",-,"1,196,990","1,153,457","43,533",-,"1,711,661","1,685,505","26,156",-,"2,012,504","1,983,600","28,904",-,"182,847","181,846","1,001",-
108年 4月,"2,189,473","2,157,558","31,915",-,"944,923","922,961","21,962",-,"1,200,307","1,155,014","45,293",-,"1,713,001","1,685,855","27,146",-,"2,014,255","1,982,712","31,543",-,"182,803","181,767","1,036",-
108年 5月,"2,189,294","2,156,048","33,246",-,"945,100","922,284","22,816",-,"1,203,801","1,156,101","47,700",-,"1,714,427","1,685,897","28,530",-,"2,015,626","1,982,204","33,420",2,"182,783","181,698","1,085",-
108年 6月,"2,190,704","2,156,057","34,647",-,"945,320","921,672","23,647",-,"1,208,299","1,157,701","50,598",-,"1,716,421","1,686,602","29,819",-,"2,017,300","1,982,393","34,905",2,"182,899","181,773","1,126",-
108年 7月,"2,190,391","2,154,254","36,135",2,"944,670","919,669","25,000",-,"1,212,248","1,159,497","52,751",-,"1,718,380","1,687,011","31,368",1,"2,019,768","1,983,442","36,324",2,"182,972","181,792","1,180",-
108年 8月,"2,191,597","2,153,823","37,772",2,"944,579","918,448","26,130",-,"1,216,190","1,161,221","54,969",-,"1,719,477","1,686,563","32,913",1,"2,020,739","1,983,017","37,720",2,"183,156","181,901","1,255",-
108年 9月,"2,194,062","2,154,567","39,492",2,"944,923","917,196","27,726",-,"1,220,745","1,164,102","56,643",-,"1,723,464","1,688,810","34,653",1,"2,023,510","1,984,445","39,062",3,"183,404","182,083","1,321",-
108年 10月,"2,195,107","2,153,371","41,733",2,"945,466","915,140","30,325",-,"1,226,153","1,165,558","60,595",-,"1,725,923","1,688,953","36,969",1,"2,024,264","1,983,376","40,885",3,"183,195","181,749","1,446",-
108年 11月,"2,196,941","2,152,197","44,741",2,"949,801","913,837","35,963",-,"1,230,417","1,166,407","64,010",-,"1,728,422","1,688,788","39,633",1,"2,025,581","1,981,935","43,643",3,"183,216","181,676","1,540",-
108年 12月,"2,198,097","2,150,088","48,006",2,"952,055","912,127","39,927",-,"1,236,264","1,166,431","69,833",-,"1,730,244","1,686,594","43,649",1,"2,028,702","1,982,089","46,610",3,"183,288","181,621","1,667",-
109年,"2,211,719","2,145,465","66,250",2,"946,851","897,651","49,199",-,"1,265,968","1,190,074","75,892",2,"1,755,563","1,695,178","60,383",2,"2,038,102","1,977,426","60,665",10,"184,922","181,959","2,963",-
109年 1月,"2,195,884","2,147,646","48,234",2,"951,079","910,849","40,229",-,"1,236,410","1,166,907","69,503",-,"1,729,760","1,685,888","43,871",1,"2,027,577","1,980,412","47,158",6,"183,206","181,517","1,689",-
109年 2月,"2,198,364","2,149,357","49,003",2,"950,944","910,049","40,894",-,"1,239,191","1,169,112","70,079",-,"1,732,955","1,687,732","45,222",1,"2,029,665","1,981,312","48,345",7,"183,440","181,697","1,743",-
109年 3月,"2,199,069","2,147,960","51,105",2,"950,376","908,674","41,701",-,"1,241,381","1,170,619","70,761",1,"1,734,527","1,687,699","46,827",1,"2,029,316","1,979,708","49,598",9,"183,480","181,600","1,880",-
109年 4月,"2,198,738","2,145,916","52,818",2,"948,887","906,607","42,279",-,"1,242,923","1,171,729","71,193",1,"1,734,781","1,686,497","48,283",1,"2,029,354","1,978,649","50,695",9,"183,456","181,469","1,987",-
109年 5月,"2,199,699","2,145,615","54,080",2,"948,232","905,389","42,842",-,"1,244,805","1,173,368","71,437",-,"1,735,742","1,686,406","49,335",1,"2,029,939","1,978,351","51,577",10,"183,610","181,535","2,075",-
109年 6月,"2,201,623","2,146,198","55,421",2,"948,015","904,466","43,548",-,"1,247,078","1,175,306","71,771",1,"1,736,683","1,686,219","50,463",1,"2,030,768","1,978,089","52,668",10,"183,844","181,645","2,199",-
109年 7月,"2,202,288","2,145,067","57,217",2,"947,879","902,929","44,949",-,"1,251,434","1,178,955","72,478",1,"1,739,473","1,687,400","52,072",1,"2,032,309","1,978,349","53,949",10,"184,031","181,701","2,330",-
109年 8月,"2,204,525","2,145,784","58,737",2,"948,112","902,342","45,769",-,"1,255,899","1,182,547","73,351",1,"1,742,565","1,689,254","53,310",1,"2,034,320","1,979,363","54,946",10,"184,413","181,970","2,443",-
109年 9月,"2,208,856","2,148,178","60,674",2,"948,605","901,879","46,725",-,"1,260,404","1,186,072","74,331",1,"1,747,521","1,692,465","55,055",1,"2,036,257","1,979,954","56,292",10,"184,905","182,305","2,600",-
109年 10月,"2,210,326","2,147,919","62,403",2,"948,550","901,064","47,485",-,"1,263,163","1,187,879","75,283",1,"1,750,651","1,694,005","56,645",1,"2,038,350","1,980,694","57,645",10,"184,894","182,188","2,706",-
109年 11月,"2,212,288","2,148,032","64,252",2,"948,081","899,836","48,244",-,"1,265,068","1,189,497","75,569",2,"1,753,143","1,694,890","58,251",2,"2,039,508","1,980,458","59,039",10,"185,103","182,250","2,853",-
109年 12月,"2,211,719","2,145,465","66,250",2,"946,851","897,651","49,199",-,"1,265,968","1,190,074","75,892",2,"1,755,563","1,695,178","60,383",2,"2,038,102","1,977,426","60,665",10,"184,922","181,959","2,963",-
110年,"2,235,659","2,151,589","84,066",2,"948,193","886,226","61,966",-,"1,292,468","1,210,854","81,612",2,"1,784,226","1,709,375","74,848",3,"2,059,783","1,985,754","74,015",13,"187,268","183,310","3,958",-
110年 1月,"2,212,011","2,145,526","66,481",2,"947,057","897,647","49,409",-,"1,267,315","1,191,572","75,741",2,"1,757,084","1,696,511","60,571",2,"2,040,767","1,979,682","61,074",10,"185,098","182,105","2,993",-
