日期,淡水,鞍部,臺北,竹子湖,基隆,彭佳嶼,花蓮,蘇澳,宜蘭,東吉島,澎湖,臺南,高雄,嘉義,臺中,阿里山,大武,玉山,新竹,恆春,成功,蘭嶼,日月潭,臺東,梧棲,金門,馬祖
96年 3月,208.2,362.5,262.5,296.5,355.5,207.1,48.0,204.1,131.4,5.1,13.1,10.5,7.5,16.2,87.9,56.5,46.8,40.5,192.6,2.2,26.7,40.0,61.6,19.1,110.6,52.1,74.9
96年 4月,221.3,351.0,198.0,240.7,204.0,149.6,74.6,149.6,124.5,52.5,71.1,36.0,24.0,86.4,136.4,241.5,18.6,198.1,225.2,2.7,39.7,58.1,195.6,39.4,116.6,159.7,161.1
96年 5月,117.0,155.1,96.6,95.4,108.9,56.9,128.7,215.7,135.1,17.9,59.4,167.4,293.4,181.8,169.1,358.4,156.1,319.6,136.3,104.3,135.1,192.9,182.7,113.2,95.0,97.5,53.2
96年 6月,759.5,837.5,709.9,812.1,661.6,511.3,163.5,416.6,356.6,146.9,96.7,333.2,276.8,306.6,735.2,633.8,213.9,527.0,488.9,215.0,165.1,158.6,720.8,123.2,683.0,373.3,193.3
96年 7月,50.4,29.7,156.9,59.5,15.2,0.4,13.2,24.6,10.3,25.6,5.4,131.7,76.0,83.3,62.0,179.2,13.0,121.8,2.9,108.7,0.5,30.2,286.6,4.0,25.9,1.5,-
96年 8月,261.4,511.7,576.2,494.8,295.8,181.2,928.5,817.8,519.4,526.2,448.1,"1,138.0","1,229.3",828.2,516.0,"1,625.1","1,254.3","1,227.3",187.8,"1,170.2",635.6,823.3,623.8,618.9,704.8,200.2,222.6
96年 9月,326.2,"1,111.1",367.8,955.1,386.3,337.6,347.7,618.1,429.8,46.0,34.0,135.0,125.5,210.4,315.7,539.4,478.0,500.8,200.7,198.7,529.9,327.5,276.0,362.4,164.0,15.3,22.2
96年 10月,314.0,856.0,280.3,780.7,377.6,170.9,295.6,720.4,420.5,155.4,169.0,194.7,92.5,247.7,289.8,"1,157.6",192.3,574.1,257.0,46.4,193.9,279.4,286.9,95.3,194.1,5.4,157.2
96年 11月,209.5,"1,118.0",155.5,"1,159.4",946.2,156.9,425.0,"1,434.9",711.7,13.5,14.7,17.0,53.5,22.1,22.6,47.4,292.7,102.7,104.1,240.8,448.0,614.0,30.5,300.0,17.5,16.3,48.5
96年 12月,29.0,142.0,30.3,96.0,172.7,24.3,36.7,366.4,63.2,-,1.5,0.7,-,-,16.7,5.1,14.1,14.5,22.1,0.3,29.2,109.5,2.0,19.6,17.7,6.3,47.5
97年,"2,575.5","5,355.3","2,969.2","4,814.0","3,673.6","2,153.2","2,312.0","3,990.9","2,846.0","1,096.9","1,512.6","1,950.0","2,591.3","2,510.6","2,477.8","5,886.7","2,081.5","4,063.8","2,166.6","2,004.5","1,718.3","3,017.6","3,851.3","1,642.4","1,613.5","1,025.2","1,059.0"
97年 1月,107.5,352.0,85.8,313.0,474.2,128.0,69.5,457.0,125.0,24.4,22.8,32.7,14.8,31.2,15.2,103.2,34.7,161.7,72.7,4.5,43.8,243.4,72.7,32.8,7.7,29.5,74.4
